taxon	sequenceID	name	full_name	subfamily	genus	host_major_group	host_minor_group	vector_group	sampled_host_sci_name
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/JF926699	JF926699	LayV	Layer flavivirus CJD05	FlaviPesti	Flavivirus	Arthropods	Insects	Aedes	NK
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/JQ268258	JQ268258	HANKV	Hanko virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Ochlerotatus mosquito
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/JX477686	JX477686	STWV	Sitiawan virus	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	NK
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/KC496020	KC496020	BJV	Barkedji virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Culex perexiguus
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/KC505248	KC505248	PCV	Palm Creek virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Coquillettidia xanthogaster
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/KC734550	KC734550	ITV	Israel turkey meningoencephalomyelitis virus	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	Meleagris gallopavo
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/KF917538	KF917538	NJLV	Naranjal virus	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	NK
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/KJ469370	KJ469370	BCV	Batu Cave virus	FlaviPesti	Flavivirus	Mammalia	Rodentia	unknown	NK
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/KM225263	KM225263	STRV	Stratford virus	FlaviPesti	Flavivirus	Arthropods	Insects	Aedes	Aedes vigilax
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/KM225264	KM225264	Bainyik	Bainyik virus	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	Aedes sp.
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/KM225265	KM225265	Torres	Torres virus	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	Aedes albopictus
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/KY290249	KY290249	LPKV	Long Pine Key virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Ochlerotatus atlanticus
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/KY320649	KY320649	LTNV	La Tina virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Ochlerotatus scapularis
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/KY347801	KY347801	MMV	Marisma mosquito virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Aedes caspius
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/LC582740	LC582740	Mpulungu	Mpulungu flavivirus	FlaviPesti	Flavivirus	Arthropods	Acari	unknown	Rhipicephalus muhsamae
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/MK473877	MK473877	GcFV	Gammarus chevreuxi flavivirus	FlaviPesti	Flavivirus	Arthropods	Crustaceans	none	Gammarus chevreuxi
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/MK473878	MK473878	CcFV	Crangon crangon flavivirus	FlaviPesti	Flavivirus	Arthropods	Crustaceans	none	Crangon crangon
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/MK473881	MK473881	GpFV	Gammarus pulex flavivirus	FlaviPesti	Flavivirus	Arthropods	Crustaceans	none	Gammarus pulex
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_000943	NC_000943	MVEV	Murray Valley encephalitis virus	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	Homo sapiens
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_001437	NC_001437	JEV	Japanese encephalitis virus	FlaviPesti	Flavivirus	Arthropods	Insects	Aedes	Homo sapiens
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_001474	NC_001474	DENV2	Dengue virus 2	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	Homo sapiens
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_001475	NC_001475	DENV3	Dengue virus 3	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	Homo sapiens
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_001477	NC_001477	DENV1	Dengue virus 1	FlaviPesti	Flavivirus	Arthropods	Insects	Aedes	Homo sapiens
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_001563	NC_001563	WNV	West Nile virus	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	Homo sapiens
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_001564	NC_001564	CFAV	Cell fusing agent virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Aedes aegypti
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_001672	NC_001672	TBEV	Tick-borne encephalitis virus	FlaviPesti	Flavivirus	Arthropods	Acari	tick	Ixodes
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_001809	NC_001809	LIV	Louping ill virus	FlaviPesti	Flavivirus	Arthropods	Acari	tick	Ovis aries
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_002031	NC_002031	YFV	Yellow fever virus	FlaviPesti	Flavivirus	Arthropods	Insects	Aedes	Aedes aegypti, Aedes albopictus
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_002640	NC_002640	DEN4	Dengue virus 4	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	Homo sapiens
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_003635	NC_003635	MODV	Modoc virus	FlaviPesti	Flavivirus	Mammalia	Rodentia	unknown	Peromyscus maniculatus
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_003675	NC_003675	RBV	Rio Bravo virus	FlaviPesti	Flavivirus	Mammalia	Chiroptera	unknown	Tadarida brasiliensis mexicana
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_003676	NC_003676	APOIV	Apoi virus	FlaviPesti	Flavivirus	Mammalia	Rodentia	unknown	Apodemus spp.
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_003687	NC_003687	POWV	Powassan virus	FlaviPesti	Flavivirus	Arthropods	Acari	tick	Homo sapiens
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_003690	NC_003690	LGTV	Langat virus	FlaviPesti	Flavivirus	Arthropods	Acari	tick	Ixodes granulatus 
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_004119	NC_004119	MMLV	Montana myotis leukoencephalitis virus	FlaviPesti	Flavivirus	Mammalia	Chiroptera	unknown	Myotis lucifugus
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_005039	NC_005039	YOKV	Yokose virus	FlaviPesti	Flavivirus	Mammalia	Chiroptera	unknown	Miniopterus fuliginosus
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_005062	NC_005062	OMSKV	Omsk hemorrhagic fever virus	FlaviPesti	Flavivirus	Arthropods	Acari	tick	Homo sapiens
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_005064	NC_005064	KRV	Kamiti River virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Aedes macintoshi 
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_006551	NC_006551	USUV	Usutu virus	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	Culex neavei
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_007580	NC_007580	SLEV	Saint Louis encephalitis virus	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	Homo sapiens
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_008604	NC_008604	CxFV	Culex flavivirus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Culex pipiens
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_008718	NC_008718	ENTV	Entebbe bat virus	FlaviPesti	Flavivirus	Mammalia	Chiroptera	unknown	Tadarida limbata
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_008719	NC_008719	SEPV	Sepik virus	FlaviPesti	Flavivirus	Arthropods	Insects	Aedes	Mansonia septempunctata
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_009026	NC_009026	BSQV	Aroa virus	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	Alouatta beelzebul
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_009028	NC_009028	ILHV	Ilheus virus	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	Psorophora spp. 
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_009029	NC_009029	KOKV	Kokobera virus	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	NK
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_012532	NC_012532	ZIKV	Zika virus	FlaviPesti	Flavivirus	Arthropods	Insects	Aedes	Homo sapiens
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_012533	NC_012533	KEDV	Kedougou virus	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	Aedes minutus
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_012534	NC_012534	BAGV	Bagaza virus	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	Culex sp.
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_012671	NC_012671	QBV	Quang Binh virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Culex tritaeniorhynchus
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_012735	NC_012735	WSLV	Wesselsbron virus	FlaviPesti	Flavivirus	Arthropods	Insects	Aedes	Ovis aries
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_012932	NC_012932	AEFV	Aedes flavivirus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Aedes albopictus
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_015843	NC_015843	TMUV	Tembusu virus	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	Anser cygnoides
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_016997	NC_016997	DONV/DGV	Donggang virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Aedes sp.
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_017086	NC_017086	CHAOV	Chaoyang virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	NK
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_018705	NC_018705	NTAV	Ntaya virus	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	NK
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_021069	NC_021069	MosqFV	Mosquito flavivirus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Culex tritaeniorhynchus
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_023424	NC_023424	TYUV	Tyuleniy virus	FlaviPesti	Flavivirus	Arthropods	Acari	tick	Ixodes uriae
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_023439	NC_023439	KAMV	Kama virus	FlaviPesti	Flavivirus	Arthropods	Acari	tick	Ixodes lividus
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_024017	NC_024017	NHUV	Nhumirim virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Culex chidesteri
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_024299	NC_024299	NIEV	Nienokoue virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Culex sp.
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_024805	NC_024805	ILOV	Ilomantsi virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Ochlerotatus riparius
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_024806	NC_024806	LAMV	Lammi virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Aedes cinereus
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_026620	NC_026620	JUTV	Jutiapa virus	FlaviPesti	Flavivirus	Mammalia	Rodentia	unknown	Sigmodon hispidus
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_026623	NC_026623	CPCV	Cacipacore virus	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	Formicarius analis
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_026624	NC_026624	SOKV	Sokoluk virus	FlaviPesti	Flavivirus	Mammalia	Chiroptera	unknown	Vespertilio pipistrellus
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_027709	NC_027709	SGEV	Spanish goat encephalitis virus	FlaviPesti	Flavivirus	Arthropods	Acari	tick	NK
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_027817	NC_027817	PaRV	Parramatta River virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Aedes vigilax
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_027819	NC_027819	MECDV	Mercadeo virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Culex sp.
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_027999	NC_027999	EPEV	Paraiso Escondido virus	FlaviPesti	Flavivirus	Arthropods	Insects	Aedes	Lutzomyia abonnenci
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_029055	NC_029055	SPOV	Spondweni virus	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	Mansonia uniformis
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_030289	NC_030289	EHV	Edge Hill virus	FlaviPesti	Flavivirus	Arthropods	Insects	Aedes	Aedes vigilax
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_030400	NC_030400	NAKV	Nakiwogo virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Mansonia africana nigerrima
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_031327	NC_031327	AnophFV	Anopheles flavivirus variant 1	FlaviPesti	Flavivirus	Arthropods	Insects	none	Anopheles gambiae
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_032088	NC_032088	NMV	New Mapoon virus	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	Culex annulirostris
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_033693	NC_033693	BOUV	Bouboui virus	FlaviPesti	Flavivirus	Arthropods	Insects	Aedes	Anopheles paludis
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_033697	NC_033697	SABV	Saboya virus	FlaviPesti	Flavivirus	Arthropods	Insects	Aedes	Tatera kempi
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_033698	NC_033698	UGSV	Uganda S virus	FlaviPesti	Flavivirus	Arthropods	Insects	Aedes	Aedes spp.
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_033699	NC_033699	JUGV	Jugra virus	FlaviPesti	Flavivirus	Arthropods	Insects	Aedes	Aedes
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_033721	NC_033721	MEAV	Meaban virus	FlaviPesti	Flavivirus	Arthropods	Acari	tick	Ornithodoros maritimus
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_033723	NC_033723	GGYV	Gadgets Gully virus	FlaviPesti	Flavivirus	Arthropods	Acari	tick	Ixodes uriae
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_033724	NC_033724	KADV	Kadam virus	FlaviPesti	Flavivirus	Arthropods	Acari	tick	Rhipicephalus pravus
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/NC_033726	NC_033726	SREV	Saumarez Reef virus	FlaviPesti	Flavivirus	Arthropods	Acari	tick	Ornithodoros capensis
alignment/AL_TREE_Flavivirus/member/fasta-refseqs/SsFV_consensus	SsFV_consensus	SsFV	Sea spider flavivirus	FlaviPesti	Flavivirus	Arthropods	Chelicerata	none	Endeis spinosa
