sequenceID	sequence_length	locus_name	genus	stem	locus_numeric_id	duplicate_id	organism	target_datatype	target_version	target_name	scaffold	orientation	extract_start	extract_end
EFV-cISF.2.16-Aedes_albopictus	1228	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	16	Aedes_albopictus	complete	Aalbo_primary.1	GCA_006496715.1_Aalbo_primary.1_genomic.fna	SWKY01000002.1	-	164434108	164435335
EFV-cISF.2.17-Aedes_albopictus	744	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	17	Aedes_albopictus	complete	v1.1	GCA_001444175.2_A.albopictus_v1.1_genomic.fna	KQ565305.1	+	99982	100725
EFV-cISF.2.18-Aedes_albopictus	1331	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	18	Aedes_albopictus	complete	Aalbo_primary.1	GCA_006496715.1_Aalbo_primary.1_genomic.fna	SWKY01000001.1	-	135123481	135124811
EFV-cISF.2.19-Aedes_albopictus	575	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	19	Aedes_albopictus	complete	v1.1	GCA_001444175.2_A.albopictus_v1.1_genomic.fna	KQ635198.1	+	41180	41754
EFV-cISF.2.20-Aedes_albopictus	495	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	20	Aedes_albopictus	complete	v1.1	GCA_001444175.2_A.albopictus_v1.1_genomic.fna	KQ564478.1	-	132427	132921
EFV-cISF.2.22-Aedes_albopictus	415	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	22	Aedes_albopictus	complete	v1.1	GCA_001444175.2_A.albopictus_v1.1_genomic.fna	KQ565305.1	+	108664	109078
EFV-cISF.2.23-Aedes_albopictus	2807	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	23	Aedes_albopictus	complete	v1.1	GCA_001444175.2_A.albopictus_v1.1_genomic.fna	KQ565305.1	+	115824	118630
EFV-cISF.2.24-Aedes_albopictus	501	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	24	Aedes_albopictus	complete	Aalbo_primary.1	GCA_006496715.1_Aalbo_primary.1_genomic.fna	SWKY01000001.1	+	137347404	137347904
EFV-cISF.2.25-Aedes_albopictus	270	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	25	Aedes_albopictus	complete	Aalbo_primary.1	GCA_006496715.1_Aalbo_primary.1_genomic.fna	SWKY01000478.1	-	209115	209384
EFV-cISF.2.26-Aedes_albopictus	462	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	26	Aedes_albopictus	complete	v1.1	GCA_001444175.2_A.albopictus_v1.1_genomic.fna	KQ561363.1	+	151300	151761
EFV-cISF.2.27-Aedes_albopictus	261	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	27	Aedes_albopictus	complete	v1.1	GCA_001444175.2_A.albopictus_v1.1_genomic.fna	KQ566147.1	-	61157	61417
EFV-cISF.2.28-Aedes_albopictus	321	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	28	Aedes_albopictus	complete	v1.1	GCA_001444175.2_A.albopictus_v1.1_genomic.fna	KQ638098.1	+	1654	1974
EFV-cISF.2.29-Aedes_albopictus	3878	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	29	Aedes_albopictus	complete	v1.1	GCA_001444175.2_A.albopictus_v1.1_genomic.fna	KQ560193.1	+	303890	307767
EFV-cISF.2.30-Aedes_albopictus	171	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	30	Aedes_albopictus	complete	v1.1	GCA_001444175.2_A.albopictus_v1.1_genomic.fna	KQ565019.1	-	79477	79647
EFV-cISF.2.31-Aedes_albopictus	207	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	31	Aedes_albopictus	complete	v1.1	GCA_001444175.2_A.albopictus_v1.1_genomic.fna	KQ604578.1	+	468	674
EFV-cISF.3-Anopheles_minimus	1965	EFV-cISF.3-AnoMin	cISF	EFV-cISF	3	1	Anopheles_minimus	low_coverage	Anop_mini_MINIMUS1_V1	GCA_000349025.1_Anop_mini_MINIMUS1_V1_genomic.fna	KB664005.1	+	23	1987
EFV-cISF.4-Anopheles_sinensis	1663	EFV-cISF.4-AnoSin	cISF	EFV-cISF	4	1	Anopheles_sinensis	low_coverage	AS2	GCA_000441895.2_AS2_genomic.fna	KE525264.1	-	411745	413407
EFV-cISF.5.1-Tipula_oleracea	2740	EFV-cISF.5-TipOle	cISF	EFV-cISF	5	1	Tipula_oleracea	low_coverage	v1	GCA_001017535.1_ASM101753v1_genomic.fna	JXPP01124776.1	+	1264	4003
EFV-cISF.5.2-Tipula_oleracea	1067	EFV-cISF.5-TipOle	cISF	EFV-cISF	5	2	Tipula_oleracea	low_coverage	v1	GCA_001017535.1_ASM101753v1_genomic.fna	JXPP01151535.1	+	859	1925
EFV-cISF.5.3-Tipula_oleracea	1186	EFV-cISF.5-TipOle	cISF	EFV-cISF	5	3	Tipula_oleracea	low_coverage	v1	GCA_001017535.1_ASM101753v1_genomic.fna	JXPP01036443.1	+	885	2070
EFV-cISF.5.4-Tipula_oleracea	1075	EFV-cISF.5-TipOle	cISF	EFV-cISF	5	4	Tipula_oleracea	low_coverage	v1	GCA_001017535.1_ASM101753v1_genomic.fna	JXPP01119385.1	-	86	1160
EFV-cISF.6-Condylostylus_patibulatus	585	EFV-cISF.6-ConPat	cISF	EFV-cISF	6	1	Condylostylus_patibulatus	low_coverage	ASM101487v1	GCA_001014875.1_ASM101487v1_genomic.fna	JXOW01150519.1	-	3	587
EFV-Flavi.1.1-Craspedacusta_sowerbyi	4469	EFV-Flavi.1-CraSow	Flavi	EFV-Flavi	1	1	Craspedacusta_sowerbyi	low_coverage	ASM368756v1	GCA_003687565.1_ASM368756v1_genomic.fna	QQSS01132398.1	+	1992	6460
EFV-Flavi.1.2-Craspedacusta_sowerbyi	2558	EFV-Flavi.1-CraSow	Flavi	EFV-Flavi	1	2	Craspedacusta_sowerbyi	low_coverage	ASM368756v1	GCA_003687565.1_ASM368756v1_genomic.fna	QQSS01398420.1	+	140	2697
EFV-Flavi.1.3-Craspedacusta_sowerbyi	1125	EFV-Flavi.1-CraSow	Flavi	EFV-Flavi	1	3	Craspedacusta_sowerbyi	low_coverage	ASM368756v1	GCA_003687565.1_ASM368756v1_genomic.fna	QQSS01051271.1	-	11592	12716
EFV-Flavi.1.4-Craspedacusta_sowerbyi	3633	EFV-Flavi.1-CraSow	Flavi	EFV-Flavi	1	4	Craspedacusta_sowerbyi	low_coverage	ASM368756v1	GCA_003687565.1_ASM368756v1_genomic.fna	QQSS01028249.1	-	1	3633
EFV-Flavi.1.5-Craspedacusta_sowerbyi	681	EFV-Flavi.1-CraSow	Flavi	EFV-Flavi	1	5	Craspedacusta_sowerbyi	low_coverage	ASM368756v1	GCA_003687565.1_ASM368756v1_genomic.fna	QQSS01422136.1	-	1	681
EFV-Flavi.1.6-Craspedacusta_sowerbyi	567	EFV-Flavi.1-CraSow	Flavi	EFV-Flavi	1	6	Craspedacusta_sowerbyi	low_coverage	ASM368756v1	GCA_003687565.1_ASM368756v1_genomic.fna	QQSS01412959.1	+	4	570
EFV-Flavi.1.7-Craspedacusta_sowerbyi	1086	EFV-Flavi.1-CraSow	Flavi	EFV-Flavi	1	7	Craspedacusta_sowerbyi	low_coverage	ASM368756v1	GCA_003687565.1_ASM368756v1_genomic.fna	QQSS01418742.1	+	27	1112
EFV-Flavi.1.8-Craspedacusta_sowerbyi	873	EFV-Flavi.1-CraSow	Flavi	EFV-Flavi	1	8	Craspedacusta_sowerbyi	low_coverage	ASM368756v1	GCA_003687565.1_ASM368756v1_genomic.fna	QQSS01132660.1	-	2390	3262
EFV-Flavi.1.9-Craspedacusta_sowerbyi	483	EFV-Flavi.1-CraSow	Flavi	EFV-Flavi	1	9	Craspedacusta_sowerbyi	low_coverage	ASM368756v1	GCA_003687565.1_ASM368756v1_genomic.fna	QQSS01424007.1	-	2	484
EFV-Flavi.1.10-Craspedacusta_sowerbyi	726	EFV-Flavi.1-CraSow	Flavi	EFV-Flavi	1	10	Craspedacusta_sowerbyi	low_coverage	ASM368756v1	GCA_003687565.1_ASM368756v1_genomic.fna	QQSS01414325.1	+	182	907
EFV-Flavi.1.11-Craspedacusta_sowerbyi	243	EFV-Flavi.1-CraSow	Flavi	EFV-Flavi	1	11	Craspedacusta_sowerbyi	low_coverage	ASM368756v1	GCA_003687565.1_ASM368756v1_genomic.fna	QQSS01420669.1	+	2	244
EFV-Flavi.1.12-Craspedacusta_sowerbyi	345	EFV-Flavi.1-CraSow	Flavi	EFV-Flavi	1	12	Craspedacusta_sowerbyi	low_coverage	ASM368756v1	GCA_003687565.1_ASM368756v1_genomic.fna	QQSS01420917.1	-	2388	2732
EFV-Flavi.1.13-Craspedacusta_sowerbyi	324	EFV-Flavi.1-CraSow	Flavi	EFV-Flavi	1	13	Craspedacusta_sowerbyi	low_coverage	ASM368756v1	GCA_003687565.1_ASM368756v1_genomic.fna	QQSS01323120.1	+	1569	1892
EFV-Flavi.2.1-Daphnia_magna	5761	EFV-Flavi.2-DapMag	Flavi	EFV-Flavi	2	1	Daphnia_magna	low_coverage	daphmag2.4	GCA_001632505.1_daphmag2.4_genomic.fna	LRGB01002801.1	+	179805	185565
EFV-Flavi.2.2-Daphnia_magna	1588	EFV-Flavi.2-DapMag	Flavi	EFV-Flavi	2	2	Daphnia_magna	low_coverage	daphmag2.4	GCA_001632505.1_daphmag2.4_genomic.fna	LRGB01003275.1	+	107779	109366
EFV-Flavi.3.1-Lepidurus_arcticus	1599	EFV-Flavi.3-LepArc	Flavi	EFV-Flavi	3	1	Lepidurus_arcticus	low_coverage	ASM372404v1	GCA_003724045.1_ASM372404v1_genomic.fna	RJJA01000657.1	-	13151	14749
EFV-Flavi.3.2-Lepidurus_arcticus	954	EFV-Flavi.3-LepArc	Flavi	EFV-Flavi	3	2	Lepidurus_arcticus	low_coverage	ASM372404v1	GCA_003724045.1_ASM372404v1_genomic.fna	RJJA01001389.1	+	1843	2796
EFV-Flavi.3.3-Lepidurus_arcticus	753	EFV-Flavi.3-LepArc	Flavi	EFV-Flavi	3	3	Lepidurus_arcticus	low_coverage	ASM372404v1	GCA_003724045.1_ASM372404v1_genomic.fna	RJJA01000859.1	+	5426	6178
EFV-HepaPegi.1-Elysia_chlorotica	741	EFV-HepaPegi.1-ElyChl	Hepaci	EFV-Hepaci	1	1	Elysia_chlorotica	low_coverage	ElyChl2.0	GCA_003991915.1_ElyChl2.0_genomic.fna	RQTK01000193.1	-	67319	68059
EJP-Jingmen.1-Chironomus_riparius	2307	EJP-Jingmen.1-Chironomus	Jingmen	EFV-Jingmen	1	1	Chironomus_riparius	low_coverage	ASM101450v1	GCA_001014505.1_ASM101450v1_genomic.fna	JXPV01001963.1	-	3919	6225
EJP-Jingmen.1-Chironomus_tentans	2108	EJP-Jingmen.1-Chironomus	Jingmen	EFV-Jingmen	1	1	Chironomus_tentans	low_coverage	CT01	GCA_000786525.1_CT01_genomic.fna	HG429170.1	-	32608	34715
EJH-Jingmen.1-Gerris_buenoi	1572	EJH-Jingmen.1-GerBue	Jingmen	EFV-Jingmen	2	1	Gerris_buenoi	low_coverage	Gbue_1.0	GCA_001010745.1_Gbue_1.0_genomic.fna	KQ064150.1	-	54576	56147
EJP-Jingmen.2-Gerris_buenoi	1404	EJP-Jingmen.2-GerBue	Jingmen	EFV-Jingmen	3	1	Gerris_buenoi	low_coverage	Gbue_1.0	GCA_001010745.1_Gbue_1.0_genomic.fna	KQ066217.1	-	2361	3764
EFV-PL2.1.6-Calycopis_cecrops	423	EFV-PL2.1-CalCec	PL2	EFV-PL2	1	6	Calycopis_cecrops	low_coverage	v2	GCA_001625245.1_3306_assembly_v2_genomic.fna	LUGF01002716.1	-	2063	2485
EFV-PL2.1.1-Calycopis_cecrops	3732	EFV-PL2.1-CalCec	PL2	EFV-PL2	1	1	Calycopis_cecrops	low_coverage	v2	GCA_001625245.1_3306_assembly_v2_genomic.fna	LUGF01003838.1	-	1433	5164
EFV-PL2.1.2-Calycopis_cecrops	1996	EFV-PL2.1-CalCec	PL2	EFV-PL2	1	2	Calycopis_cecrops	low_coverage	v2	GCA_001625245.1_3306_assembly_v2_genomic.fna	LUGF01006995.1	-	11404	13399
EFV-PL2.1.3-Calycopis_cecrops	516	EFV-PL2.1-CalCec	PL2	EFV-PL2	1	3	Calycopis_cecrops	low_coverage	v2	GCA_001625245.1_3306_assembly_v2_genomic.fna	LUGF01020455.1	-	4791	5306
EFV-PL2.1.4-Calycopis_cecrops	1659	EFV-PL2.1-CalCec	PL2	EFV-PL2	1	4	Calycopis_cecrops	low_coverage	v2	GCA_001625245.1_3306_assembly_v2_genomic.fna	LUGF01022944.1	+	31	1689
EFV-PL2.1.5-Calycopis_cecrops	959	EFV-PL2.1-CalCec	PL2	EFV-PL2	1	5	Calycopis_cecrops	low_coverage	v2	GCA_001625245.1_3306_assembly_v2_genomic.fna	LUGF01005621.1	+	81472	82430
EFV-PL2.2.1-Euschistus_heros	1661	EFV-PL2.2-EusHer	PL2	EFV-PL2	2	1	Euschistus_heros	low_coverage	GCA_003667255	GCA_003667255.1_E_heros_v1.0_sep_2018_genomic.fna	RCWM01000536.1	+	8602	10262
EFV-PL2.2.2-Euschistus_heros	2703	EFV-PL2.2-EusHer	PL2	EFV-PL2	2	2	Euschistus_heros	low_coverage	GCA_003667255	GCA_003667255.1_E_heros_v1.0_sep_2018_genomic.fna	RCWM01000197.1	-	413502	416204
EFV-PL2.2.3-Euschistus_heros	471	EFV-PL2.2-EusHer	PL2	EFV-PL2	2	3	Euschistus_heros	low_coverage	GCA_003667255	GCA_003667255.1_E_heros_v1.0_sep_2018_genomic.fna	RCWM01002751.1	-	35764	36234
EFV-PL2.3.199-Ceratina_australensis	6462	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	199	Ceratina_australensis	low_coverage	ASM430768v1	GCA_004307685.1_ASM430768v1_genomic.fna	SHCU01001306.1	+	14225	20686
EFV-PL2.3.200-Ceratina_australensis	1266	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	200	Ceratina_australensis	low_coverage	ASM430768v1	GCA_004307685.1_ASM430768v1_genomic.fna	SHCU01006948.1	+	50	1315
EFV-PL2.3.47-Ceratina_calcarata	102	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	47	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01036068.1	+	5	106
EFV-PL2.3.62-Ceratina_calcarata	14405	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	62	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01048950.1	-	2693	17097
EFV-PL2.3.63-Ceratina_calcarata	17258	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	63	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01000230.1	+	2	17259
EFV-PL2.3.64-Ceratina_calcarata	6399	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	64	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01000710.1	+	2117	8515
EFV-PL2.3.65-Ceratina_calcarata	11055	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	65	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01049465.1	-	583	11637
EFV-PL2.3.66-Ceratina_calcarata	7086	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	66	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01004551.1	+	31	7116
EFV-PL2.3.67-Ceratina_calcarata	13502	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	67	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01005083.1	-	3	13504
EFV-PL2.3.68-Ceratina_calcarata	6463	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	68	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01030159.1	-	1	6463
EFV-PL2.3.69-Ceratina_calcarata	6157	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	69	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01011448.1	-	1757	7913
EFV-PL2.3.71-Ceratina_calcarata	1803	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	71	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01035665.1	+	21	1823
EFV-PL2.3.72-Ceratina_calcarata	1263	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	72	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01040369.1	-	4	1266
EFV-PL2.3.74-Ceratina_calcarata	951	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	74	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01045745.1	+	2	952
EFV-PL2.3.79-Ceratina_calcarata	1327	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	79	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01000419.1	+	3	1329
EFV-PL2.3.80-Ceratina_calcarata	513	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	80	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01000366.1	+	1	513
EFV-PL2.3.81-Ceratina_calcarata	591	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	81	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01048978.1	-	2	592
EFV-PL2.3.82-Ceratina_calcarata	483	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	82	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01001307.1	+	3	485
EFV-PL2.3.85-Ceratina_calcarata	1189	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	85	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01041523.1	+	3	1191
EFV-PL2.3.86-Ceratina_calcarata	501	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	86	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01000694.1	-	2	502
EFV-PL2.3.87-Ceratina_calcarata	522	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	87	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01045588.1	-	189	710
EFV-PL2.3.88-Ceratina_calcarata	378	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	88	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01005227.1	-	26	403
EFV-PL2.3.89-Ceratina_calcarata	378	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	89	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01005180.1	-	26	403
EFV-PL2.3.91-Ceratina_calcarata	435	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	91	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01003284.1	+	2	436
EFV-PL2.3.92-Ceratina_calcarata	351	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	92	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01008973.1	+	1	351
EFV-PL2.3.93-Ceratina_calcarata	393	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	93	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01005859.1	+	1	393
EFV-PL2.3.94-Ceratina_calcarata	435	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	94	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01003467.1	-	1	435
EFV-PL2.3.97-Ceratina_calcarata	318	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	97	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01012448.1	-	2	319
EFV-PL2.3.99-Ceratina_calcarata	396	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	99	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01005555.1	-	3	398
EFV-PL2.3.100-Ceratina_calcarata	381	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	100	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01006710.1	-	1	381
EFV-PL2.3.101-Ceratina_calcarata	279	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	101	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01017523.1	+	3	281
EFV-PL2.3.103-Ceratina_calcarata	294	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	103	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01015099.1	-	3	296
EFV-PL2.3.104-Ceratina_calcarata	354	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	104	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01008620.1	+	2	355
