sequenceID	name	locus_id	full_name	subfamily	supergenus	genus	subgenus	clade	locus_numeric_id	host_group_taxlevel	host_group_name	host_group_common_name	reftype	num_copies	host_group	vector_group
EJP-Jingmen.1-Chironomus	EJP-Jingmen.1-Chironomus	EJP-Jingmen.1-Chironomus	EJP-Jingmen.1-Chironomus	FlaviPesti	FlaviLike	JMTV1	Jingmenvirus	NULL	1	genus	Chironomus	Chironomus	consensus	2	NULL	NULL
EJP-Jingmen.2-GerBue	EJP-Jingmen.2-GerBue	EJP-Jingmen.2-GerBue	EJP-Jingmen.2-GerBue	FlaviPesti	FlaviLike	JMTV1	Jingmenvirus	NULL	2	species	Gerris buenoi	Water strider	reference	1	NULL	NULL
EJH-Jingmen.1-GerBue	EJH-Jingmen.1-GerBue	EJH-Jingmen.1-GerBue	EJH-Jingmen.1-GerBue	FlaviPesti	FlaviLike	JMTV3	Jingmenvirus	NULL	1	species	Gerris buenoi	Water strider	reference	1	NULL	NULL
EFV-PL2.1-CalCec	EFV-PL2.1-CalCec	EFV-PL2.1-CalCec	EFV-PL2.1-CalCec	FlaviPesti	PestiLike	LGF	PL2	NULL	1	species	Calycopis cecrops	Red-banded hairstreak	consensus		NULL	NULL
EFV-PL2.2-EusHer	EFV-PL2.2-EusHer	EFV-PL2.2-EusHer	EFV-PL2.2-EusHer	FlaviPesti	PestiLike	LGF	PL2	NULL	2	species	Euschistus heros	Stink bug	consensus	1	NULL	NULL
EFV-PL2.3-Apoidae	EFV-PL2.3-Apoidae	EFV-PL2.3-Apoidae	EFV-PL2.3-Apoidae	FlaviPesti	PestiLike	LGF	PL2	NULL	3	family	Apoidae	Sweat bees	consensus		NULL	NULL
EFV-PL2.4-Andricus	EFV-PL2.4-Andricus	EFV-PL2.4-Andricus	EFV-PL2.4-Andricus	FlaviPesti	PestiLike	LGF	PL2	NULL	4	genus	Andricus	Cottonwool gall wasp	consensus	2	NULL	NULL
EFV-PL2.5-AnoGla	EFV-PL2.5-AnoGla	EFV-PL2.5-AnoGla	EFV-PL2.5-AnoGla	FlaviPesti	PestiLike	LGF	PL2	NULL	5	species	Anoplophora glabripennis	Long-horned beetle	reference		NULL	NULL
EFV-PL2.6-XenBra	EFV-PL2.6-XenBra	EFV-PL2.6-XenBra	EFV-PL2.6-XenBra	FlaviPesti	PestiLike	LGF	PL2	NULL	6	species	Xenocatantops brachycerus*	Grasshopper	consensus	16	NULL	NULL
EFV-PL2.7-OpeBru	EFV-PL2.7-OpeBru	EFV-PL2.7-OpeBru	EFV-PL2.7-OpeBru	FlaviPesti	PestiLike	LGF	PL2	NULL	7	species	Operophtera brumata	Winter moth	reference	2	NULL	NULL
EFV-PL2.8-EusHer	EFV-PL2.8-EusHer	EFV-PL2.8-EusHer	EFV-PL2.8-EusHer	FlaviPesti	PestiLike	LGF	PL2	NULL	9	species	Euschistus heros	Stink bug	consensus	1	NULL	NULL
EFV-Tamana.1-LedTum	EFV-Tamana.1-LedTum	EFV-Tamana.1-LedTum	EFV-Tamana.1-LedTum	FlaviPesti	FlaviLike	Tamanavirus	Tamana	NULL	1	species	Lednia tumana	Meltwater stonefly	reference	1	NULL	NULL
EFV-Tamana.2-LauKoh	EFV-Tamana.2-LauKoh	EFV-Tamana.2-LauKoh	EFV-Tamana.2-LauKoh	FlaviPesti	FlaviLike	Tamanavirus	Tamana	NULL	2	species	Laupala kohalensis	Hawaiian cricket	consensus	2	NULL	NULL
EFV-Tamana.3-AmpSul	EFV-Tamana.3-AmpSul	EFV-Tamana.3-AmpSul	EFV-Tamana.3-AmpSul	FlaviPesti	FlaviLike	Tamanavirus	Tamana	NULL	3	species	Amphinemura sulcicollis	Spring stonefly	consensus	2	NULL	NULL
EFV-Tamana.4-StyCho	EFV-Tamana.4-StyCho	EFV-Tamana.4-StyCho	EFV-Tamana.4-StyCho	FlaviPesti	FlaviLike	Tamanavirus	Tamana	NULL	4	species	Stylephorus chordatus	Tube-eye	reference	1	NULL	NULL
EFV-X1.1-PriCau	EFV-X1.1-PriCau	EFV-X1.1-PriCau	EFV-X1.1-PriCau	FlaviPesti	FlaviLike	X1	X1	NULL	1	species	Priapulus caudatus	Penis worm	consensus	2	NULL	NULL
EFV-X2.3-EurAff	EFV-X2.3-EurAff	EFV-X2.3-EurAff	EFV-X2.3-EurAff	FlaviPesti	FlaviLike	X2	X2	NULL	1	species	Eurytemora affinis	Copepod	consensus	6	NULL	NULL
EFV-X2.1-AusLim	EFV-X2.1-AusLim	EFV-X2.1-AusLim	EFV-X2.1-AusLim	FlaviPesti	FlaviLike	X2	X2	NULL	2	species	Austrofundulus limnaeus	Mangrove killifish	consensus	4	NULL	NULL
EFV-X2.2-StyCho	EFV-X2.2-StyCho	EFV-X2.2-StyCho	EFV-X2.2-StyCho	FlaviPesti	FlaviLike	X2	X2	NULL	3	species	Stylephorus chordatus	Tube-eye	reference	1	NULL	NULL
EFV-X2.4-Takifugu	EFV-X2.4-Takifugu	EFV-X2.4-Takifugu	EFV-X2.4-Takifugu	FlaviPesti	FlaviLike	X2	X2	NULL	4	genus	Takifugu	Takifugu	reference	1	NULL	NULL
EFV-X2.5-Phycis	EFV-X2.5-Phycis	EFV-X2.5-Phycis	EFV-X2.5-Phycis	FlaviPesti	FlaviLike	X2	X2	NULL	5	species	Phycis	Phycis	reference	1	NULL	NULL
EFV-X2.6-MorMor	EFV-X2.6-MorMor	EFV-X2.6-MorMor	EFV-X2.6-MorMor	FlaviPesti	FlaviLike	X2	X2	NULL	6	species	Mora moro	Common mora	reference	1	NULL	NULL
EFV-X2.7-BroBro	EFV-X2.7-BroBro	EFV-X2.7-BroBro	EFV-X2.7-BroBro	FlaviPesti	FlaviLike	X2	X2	NULL	7	species	Brosme brosme	Cusk	reference	1	NULL	NULL
EFV-X2.8-MacPee	EFV-X2.8-MacPee	EFV-X2.8-MacPee	EFV-X2.8-MacPee	FlaviPesti	FlaviLike	X2	X2	NULL	8	species	Maccullochella peelii	Murray cod	reference	1	NULL	NULL
EFV-X2.9-BolPec	EFV-X2.9-BolPec	EFV-X2.9-BolPec	EFV-X2.9-BolPec	FlaviPesti	FlaviLike	X2	X2	NULL	9	species	Boleophthalmus pectinirostris	Bluespotted mudhopper	reference	1	NULL	NULL
EFV-PL2.8-AnoPla	EFV-PL2.8-AnoPla	EFV-PL2.8-AnoPla	EFV-PL2.8-AnoPla	FlaviPesti	PestiLike	LGF	PL2	NULL	8	species	Anoplophora glabripennis	Long-horned beetle	reference	1	NULL	NULL
EFV-Pesti.1-Crocidurinae	EFV-Pesti.1-Crocidurinae	EFV-Pesti.1-Crocidurinae	EFV-Pesti.1-Crocidurinae	FlaviPesti	PestiLike	Pestivirus		NULL	1	subfamily	Crocidurinae-Soricinae	Crocidurid & Soricinid shrews	reference	26	NULL	NULL
