sequenceID	full_name	name	genus	clade	reservoir_taxgroup	sampled_host_sci_name	reservoir_host_sci_name	vector_boolean	vector_taxgroup	vector_sci_name	NCBI taxon	isolate	country	gb_place_sampled	collection_year	collection_month_day	collection_month
NC_008719	Sepik virus	-	Flavivirus	-	Bovidae	mosquito	mosquito	1	mosquito		44026	-	Papua New Guinea	-	-	-	-
NC_009026	Aroa virus	-	Flavivirus	-	Rodent	-	-	1	mosquito		64303	BeAn 4073	-	-	-	-	-
NC_009028	Ilheus virus	-	Flavivirus	-	Neoaves	-	-	1	mosquito		59563	-	-	-	-	-	-
NC_012532	Zika virus	-	Flavivirus	-	Orphan	sentinel monkey	sentinel monkey	1	mosquito		64320	-	Uganda	-	-	-	-
NC_012533	Kedougou virus	-	Flavivirus	-	Orphan	mosquito		1	mosquito		64311	-	Senegal	-	-	-	-
NC_012534	Bagaza virus	-	Flavivirus	-	Galloanserae	mosquito		1	mosquito		64290	-	Central African Republic	-	-	-	-
NC_012671	Quang Binh virus	-	Flavivirus	-	Insect	Culex tritaeniorhynchus (mosquito)	Culex tritaeniorhynchus (mosquito)	0	mosquito		643132	VN180	Viet Nam	-	2002	-	-
NC_012735	Wesselsbron virus	-	Flavivirus	-	Orphan	-	-	1	mosquito		164416	-	South Africa	-	-	-	-
NC_012812	Bovine viral diarrhea virus 3	-	Flavivirus	-	Bovidae	Bos taurus	Bos taurus	0	none		381707	-	Thailand	-	2004	-	-
NC_012932	Aedes flavivirus	-	Flavivirus	-	Insect	Aedes albopictus		0	mosquito	Aedes albopictus	390845	-	Japan	Chiba, Narita	2003	-	-
NC_015843	Tembusu virus	-	Flavivirus	-	Orphan	goose	goose	1	mosquito	Aedes sp. (mosquito)	64293	-	China	-	2010	-	-
NC_016997	Donggang virus	-		-		Aedes sp. (mosquito)						DG0909	China	-	2009	-	-
NC_017086	Chaoyang virus	-	Flavivirus	-	Insect	mosquito		0	mosquito		631267	HLD115	China	-	2010	-	-
NC_018705	Ntaya virus	-	Flavivirus	-	Orphan	-	-	1	mosquito		64292	IPDIA	-	-	1966	-	-
NC_018713	Pestivirus strain Aydin/04-TR	-	Flavivirus	-	Bovidae	Ovis aries	sheep	0	none		1234809	-	Turkey	-	2004	-	-
NC_020902	Equine pegivirus 1	-	Flavivirus	-	Perissodactyla	Equus caballus	horse	0	none		1307803	C0035	USA	-	2011	-	-
NC_021069	Mosquito flavivirus	-	Flavivirus	-	Insect	Culex tritaeniorhynchus		0	mosquito	Culex tritaeniorhynchus	673515	LSFlaviV-A20-09	China	-	2009	-	-
NC_021153	Rodent hepacivirus	-	Flavivirus	-	Rodent	Peromyscus maniculatus	Peromyscus maniculatus	0	none		1281454	RHV-339	USA	-	2008	-	-
NC_021154	Rodent pegivirus	-	Flavivirus	-	Rodent	Neotoma lepida	Neotoma lepida	0	none		1321391	CC61	USA	-	2008	-	-
NC_023176	Porcine pestivirus isolate Bungowannah	-	Flavivirus	-	Orphan	-	-	0	none		412969	Bungowannah	Australia	-	-	-	-
NC_023424	Tyuleniy virus	-	Flavivirus	-	Neoaves			1	tick	Ixodes uriae	40004	-	Russia	far East, Sea of Okhotsk; Tyuleniy island	1969	-	-
NC_023439	Kama virus	-	Flavivirus	-	Neoaves			1	tick	Ixodes lividus	1456752	-	Russia	islands of Kuybyshev Reservoir, Kuybyshev Sea, East European Plain	1989	-	-
NC_024017	Nhumirim virus	-	Flavivirus	-		Culex chidesteri	Culex chidesteri					-	Brazil	Nhecolandia Sub-region of Pantanal, Corumba, Mato Grosso do Sul	2010	17	OCT
NC_024018	Pronghorn antelope pestivirus	-		-	Antilocapridae	pronghorn antelope	pronghorn antelope	0	none		188938	-	USA	-	-	-	-
NC_024299	Nienokoue virus	-	Flavivirus	-		Culex sp.				Culex sp.		B51/CI/2004	Cote d'Ivoire	-	2004	-	-
NC_024377	Simian pegivirus	-	Flavivirus	-	Primate	Piliocolobus tephrosceles (red colobus monkey)	Piliocolobus tephrosceles (red colobus monkey)	0	none		1454041	SPgVkrc_RC08	Uganda	Kibale National Park	2010	15	FEB
NC_024805	Illomantsi virus	-		-		mosquito						M0724	Finland	-	2007	-	-
NC_024806	Lammi virus	-		-		mosquito						M0719	Finland	-	2007	-	-
NC_024889	Equine hepacivirus JPN3/JAPAN/2013	-		-	Perissodactyla	Equus caballus	Equus caballus	0	none		1416349	-	Japan	-	2013	-	-
NC_025672	Norway rat hepacivirus 1	-	Flavivirus	-	Rodent	Rattus norvegicus	Rattus norvegicus	0	none		1562038	NrHV-1/NYC-C12	USA	New York, New York City	2013	7	APR
NC_025673	Norway rat hepacivirus 2	-	Flavivirus	-	Rodent	Rattus norvegicus	Rattus norvegicus	0	none		1562039	NrHV-2/NYC-E43	USA	New York, New York City	2012	20	DEC
NC_025677	Norway rat pestivirus	-	Flavivirus	-	Rodent	Rattus norvegicus	Rattus norvegicus	0	none		1562066	NrPV/NYC-D23	USA	New York, New York City	2013	30	JUN
NC_025679	Norway rat pegivirus	-	Flavivirus	-	Rodent	Rattus norvegicus	Rattus norvegicus	0	none		1562065	NrPgV/NYC-E13	USA	New York, New York City	2012	2	DEC
NC_026620	Jutiapa virus	-	Flavivirus	-	Rodent	Sigmodon hispidus	Sigmodon hispidus	0	none		64299	-	Guatemala	-	1969	-	-
NC_026623	Cacipacore virus	-	Flavivirus	-	Orphan	Formicarius analis	Formicarius analis	1	mosquito		64305	-	Brazil	-	1977	-	-
NC_026624	Sokoluk virus	-	Flavivirus	-	Vespbat	Vespertilio pipistrellus	Vespertilio pipistrellus	?	unknown		64317	-	Kyrgyzstan	-	1970	-	-
NC_026797	Bovine hepacivirus	-	Flavivirus	-	Bovidae	Bos taurus	Bos taurus	0	none		1633878	GHC25	Ghana	-	2011	-	-
NC_027709	Spanish goat encephalitis virus	-	Flavivirus	-	Orphan	Bermeya goat	Bermeya goat	1	tick		1691889	AstGoatIREC2011	Spain	-	2011	-	-
NC_027817	Parramatta River virus	-	Flavivirus	-	Insect	-	-	0	mosquito		1708654	92-B115745	Australia	-	2007	-	-
NC_027819	Mercadeo virus	-	Flavivirus	-	Insect	Culex sp.		0	mosquito	Culex sp.	1708574	ER-M10	Panama	-	2011	-	-
NC_027998	Human pegivirus 2	-	Flavivirus	-	Primate	Homo sapiens	Homo sapiens	0	none		1729141	UC0125.US	USA	-	2008	28	AUG
NC_027999	Paraiso Escondido virus	-	Flavivirus	-	Insect	Lutzomyia abonnenci	Lutzomyia abonnenci	0	sandfly		1566298	Ecuador2012	Ecuador	-	2012	-	-
NC_029055	Spondweni virus	-	Flavivirus	-	Orphan	-	-	1	mosquito		64318	-	South Africa	-	-	-	-
NC_030289	Edge Hill virus	-	Flavivirus	-		-	-					-	Australia	-	-	-	-
NC_032088	Kokobera virus	-		-	Diprotodontia	mosquito	mosquito	1	mosquito		44024	-	Australia	New Mapoon	1998	-	-
NC_033693	Boubou virus	-	Flavivirus	-		-	-					-	Central African Republic	-	-	-	-
NC_033697	Saboya virus	-		-		-	-					-	Senegal	-	-	-	-
NC_033698	Uganda S virus	-		-		-	-					-	Uganda	-	-	-	-
NC_033699	Jugra virus	-		-		-	-					-	Malaysia	-	-	-	-
NC_033721	Meaban virus	-		-		-	-					-	France	-	-	-	-
NC_033723	Gadgets Gully virus	-		-		-	-					-	Australia	Macquarie Island	-	-	-
NC_033724	Kadam virus	-		-		-	-					-	Uganda	-	-	-	-
NC_033726	Saumarez reef virus	-		-		Ornithodoros capensis	Ornithodoros capensis					-	Australia	Queensland	-	-	-
