sequenceID	sublineage	subfamily	sublineage	genus	clade	name	full_name	class	integration	fragment	duplicate	organism	scaffold	start	end	length	orientation
EFV-cISF.5.1.1-Tipula	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.5.1.1	EFV-cISF.5.1.1-Tipula	EFV	5	1	1	Tipula_oleracea	JXPP01124776.1	2147	3275	1128	positive
EFV-cISF.5.4.1-Tipula	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.5.4.1	EFV-cISF.5.4.1-Tipula	EFV	5	4	1	Tipula_oleracea	JXPP01151535.1	1319	1627	308	positive
EFV-Flavi.1.3.1-Craspedacusta	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	Jellyfish	Flavi.1.3.1	EFV-Flavi.1.3.1-Craspedacusta	EFV	1	3	1	Craspedacusta_sowerbii	QQSS01028249.1	46	807	761	negative
EFV-Flavi.1.2.1-Craspedacusta	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	Jellyfish	Flavi.1.2.1	EFV-Flavi.1.2.1-Craspedacusta	EFV	1	2	1	Craspedacusta_sowerbii	QQSS01028249.1	2131	3075	944	negative
EFV-Flavi.1.1.2-Craspedacusta	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	Jellyfish	Flavi.1.1.2	EFV-Flavi.1.1.2-Craspedacusta	EFV	1	1	2	Craspedacusta_sowerbii	QQSS01051271.1	11592	14349	2757	negative
EFV-Flavi.1.5.1-Craspedacusta	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	Jellyfish	Flavi.1.5.1	EFV-Flavi.1.5.1-Craspedacusta	EFV	1	5	1	Craspedacusta_sowerbii	QQSS01132398.1	1980	6427	4447	positive
EFV-Flavi.1.6.1-Craspedacusta	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	Jellyfish	Flavi.1.6.1	EFV-Flavi.1.6.1-Craspedacusta	EFV	1	6	1	Craspedacusta_sowerbii	QQSS01132398.1	1980	6427	4447	positive
EFV-Flavi.1.1.1-Craspedacusta	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	Jellyfish	Flavi.1.1.1	EFV-Flavi.1.1.1-Craspedacusta	EFV	1	1	1	Craspedacusta_sowerbii	QQSS01398420.1	2	2757	2755	positive
EFV-Flavi.1.4.1-Craspedacusta	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	Jellyfish	Flavi.1.4.1	EFV-Flavi.1.4.1-Craspedacusta	EFV	1	4	1	Craspedacusta_sowerbii	QQSS01422136.1	1	681	680	negative
EFV-Flavi.2.1.1-Daphnia	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	Crustacean	Flavi.2.1.1	EFV-Flavi.2.1.1-Daphnia	EFV	2	1	1	Daphnia_magna	LRGB01002801.1	179805	185034	5229	positive
EFV-Flavi.2.2.1-Daphnia	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	Crustacean	Flavi.2.2.1	EFV-Flavi.2.2.1-Daphnia	EFV	2	1	2	Daphnia_magna	LRGB01003275.1	107884	108810	926	positive
EFV-Flavi.3.2.1-Lepidurus	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	Crustacean	Flavi.3.2.1	EFV-Flavi.3.2.1-Lepidurus	EFV	3	2	1	Lepidurus_arcticus	RJJA01000657.1	13151	14749	1599	negative
EFV-Flavi.3.3.1-Lepidurus	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	Crustacean	Flavi.3.3.1	EFV-Flavi.3.3.1-Lepidurus	EFV	3	3	1	Lepidurus_arcticus	RJJA01000859.1	5426	6178	753	positive
EFV-Flavi.3.1.1-Lepidurus	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	Crustacean	Flavi.3.1.1	EFV-Flavi.3.1.1-Lepidurus	EFV	3	1	1	Lepidurus_arcticus	RJJA01001389.1	1843	2796	954	positive
EJV-JMTV1.1.1.1-Chironomus_riparius	FlaviPesti	FlaviPesti	Flavi-like	Jingmenvirus	Jingmenvirus	JMTV1.1.1.1	EFV-JMTV1.1.1.1-Chironomus_riparius	EFV	1	1	1	Chironomus_riparius	JXPV01001963 	3958	5159	1201	negative
EJV-JMTV1.1.1.1-Chironomus_tentans	FlaviPesti	FlaviPesti	Flavi-like	Jingmenvirus	Jingmenvirus	JMTV1.1.1.1	EFV-JMTV1.1.1.1-Chironomus_tentans	EFV	1	1	1	Chironomus_tentans	HG429170	32608	34715	2107	negative
EJV-JMTV1.2.1.1-Gerris	FlaviPesti	FlaviPesti	Flavi-like	Jingmenvirus	Jingmenvirus	JMTV1.2.1.1	EFV-JMTV1.2.1.1-Gerris	EFV	2	1	1	Gerris_buenoi	JHBY02101284.1	2219	3765	1546	negative
EJV-JMTV3.1.1.1-Gerris	FlaviPesti	FlaviPesti	Flavi-like	Jingmenvirus	Jingmenvirus	JMTV3.1.1.1	EFV-JMTV3.1.1.1-Gerris	EFV	1	1	1	Gerris_buenoi	JHBY02071018.1	4807	6720	1913	negative
CerAus_1_SHCU01001306	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerAus_1	CerAus_1_SHCU01001306	EFV	3	1	1	Ceratina_australensis	SHCU01001306.1	14225	20686	6462	positive
CerAus_2_SHCU01006948	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerAus_2	CerAus_2_SHCU01006948	EFV	3	2	1	Ceratina_australensis	SHCU01006948.1	50	1315	1266	positive
CerCal_2_LSNX01000230	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_2	CerCal_2_LSNX01000230	EFV	3	2	1	Ceratina_calcarata	LSNX01000230.1	2	11549	11548	positive
CerCal_17_SHCU01001306	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_17	CerCal_17_SHCU01001306	EFV	3	17	1	Ceratina_calcarata	LSNX01000230.1	16528	17259	732	positive
CerCal_20_LSNX01013676	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_20	CerCal_20_LSNX01013676	EFV	3	20	1	Ceratina_calcarata	LSNX01000366.1	1	513	513	positive
CerCal_18_LSNX01015099	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_18	CerCal_18_LSNX01015099	EFV	3	18	1	Ceratina_calcarata	LSNX01000419.1	3	1329	1327	positive
CerCal_24_LSNX01017109	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_24	CerCal_24_LSNX01017109	EFV	3	24	1	Ceratina_calcarata	LSNX01000694.1	2	502	501	negative
CerCal_3_LSNX01011448	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_3	CerCal_3_LSNX01011448	EFV	3	3	1	Ceratina_calcarata	LSNX01000710.1	2117	8515	6399	positive
CerCal_10_LSNX01030159	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_10	CerCal_10_LSNX01030159	EFV	3	10	1	Ceratina_calcarata	LSNX01001226.1	10802	13084	2283	positive
CerCal_22_LSNX01031071	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_22	CerCal_22_LSNX01031071	EFV	3	22	1	Ceratina_calcarata	LSNX01001307.1	3	485	483	positive
CerCal_45_LSNX01033181	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_45	CerCal_45_LSNX01033181	EFV	3	45	1	Ceratina_calcarata	LSNX01002163.1	2	316	315	positive
CerCal_29_LSNX01029438	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_29	CerCal_29_LSNX01029438	EFV	3	29	1	Ceratina_calcarata	LSNX01003284.1	2	436	435	positive
CerCal_32_LSNX01018195	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_32	CerCal_32_LSNX01018195	EFV	3	32	1	Ceratina_calcarata	LSNX01003467.1	1	435	435	negative
CerCal_5_LSNX01005083	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_5	CerCal_5_LSNX01005083	EFV	3	5	1	Ceratina_calcarata	LSNX01004551.1	31	7116	7086	positive
CerCal_47_LSNX01045128	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_47	CerCal_47_LSNX01045128	EFV	3	47	1	Ceratina_calcarata	LSNX01004653.1	9	353	345	positive
CerCal_6_LSNX01007571	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_6	CerCal_6_LSNX01007571	EFV	3	6	1	Ceratina_calcarata	LSNX01005083.1	3	13504	13502	negative
CerCal_26_LSNX01009627	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_26	CerCal_26_LSNX01009627	EFV	3	26	1	Ceratina_calcarata	LSNX01005180.1	26	403	378	negative
CerCal_27_LSNX01032777	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_27	CerCal_27_LSNX01032777	EFV	3	27	1	Ceratina_calcarata	LSNX01005227.1	26	403	378	negative
CerCal_31_LSNX01023980	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_31	CerCal_31_LSNX01023980	EFV	3	31	1	Ceratina_calcarata	LSNX01005386.1	2	400	399	positive
CerCal_63_LSNX01030735	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_63	CerCal_63_LSNX01030735	EFV	3	63	1	Ceratina_calcarata	LSNX01005431.1	160	399	240	negative
CerCal_36_SHCU01006948	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_36	CerCal_36_SHCU01006948	EFV	3	36	1	Ceratina_calcarata	LSNX01005555.1	3	398	396	negative
CerCal_35_LSNX01027670	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_35	CerCal_35_LSNX01027670	EFV	3	35	1	Ceratina_calcarata	LSNX01005859.1	1	393	393	positive
CerCal_42_LSNX01000366	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_42	CerCal_42_LSNX01000366	EFV	3	42	1	Ceratina_calcarata	LSNX01006512.1	2	382	381	positive
CerCal_40_LSNX01001226	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_40	CerCal_40_LSNX01001226	EFV	3	40	1	Ceratina_calcarata	LSNX01006710.1	1	381	381	negative
CerCal_34_LSNX01036068	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_34	CerCal_34_LSNX01036068	EFV	3	34	1	Ceratina_calcarata	LSNX01007166.1	2	373	372	negative
CerCal_16_LSNX01017523	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_16	CerCal_16_LSNX01017523	EFV	3	16	1	Ceratina_calcarata	LSNX01007571.1	3881	5041	1161	positive
CerCal_54_LSNX01041523	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_54	CerCal_54_LSNX01041523	EFV	3	54	1	Ceratina_calcarata	LSNX01007748.1	62	367	306	negative
CerCal_41_LSNX01048950	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_41	CerCal_41_LSNX01048950	EFV	3	41	1	Ceratina_calcarata	LSNX01008620.1	2	355	354	positive
CerCal_30_LSNX01010817	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_30	CerCal_30_LSNX01010817	EFV	3	30	1	Ceratina_calcarata	LSNX01008973.1	1	351	351	positive
CerCal_49_LSNX01042023	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_49	CerCal_49_LSNX01042023	EFV	3	49	1	Ceratina_calcarata	LSNX01009221.1	2	349	348	positive
CerCal_48_LSNX01026740	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_48	CerCal_48_LSNX01026740	EFV	3	48	1	Ceratina_calcarata	LSNX01009627.1	2	328	327	positive
CerCal_65_LSNX01027129	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_65	CerCal_65_LSNX01027129	EFV	3	65	1	Ceratina_calcarata	LSNX01010037.1	4	342	339	positive
CerCal_66_LSNX01004551	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_66	CerCal_66_LSNX01004551	EFV	3	66	1	Ceratina_calcarata	LSNX01010817.1	48	332	285	negative
CerCal_13_LSNX01003467	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_13	CerCal_13_LSNX01003467	EFV	3	13	1	Ceratina_calcarata	LSNX01011448.1	1757	3355	1599	negative
CerCal_8_LSNX01005180	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_8	CerCal_8_LSNX01005180	EFV	3	8	1	Ceratina_calcarata	LSNX01011448.1	5463	7913	2451	negative
CerCal_33_LSNX01023177	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_33	CerCal_33_LSNX01023177	EFV	3	33	1	Ceratina_calcarata	LSNX01012448.1	2	319	318	negative
CerCal_43_LSNX01048978	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_43	CerCal_43_LSNX01048978	EFV	3	43	1	Ceratina_calcarata	LSNX01013676.1	1	309	309	positive
CerCal_39_LSNX01049465	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_39	CerCal_39_LSNX01049465	EFV	3	39	1	Ceratina_calcarata	LSNX01015099.1	3	296	294	negative
CerCal_59_LSNX01029617	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_59	CerCal_59_LSNX01029617	EFV	3	59	1	Ceratina_calcarata	LSNX01015710.1	2	292	291	negative
CerCal_77_LSNX01022624	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_77	CerCal_77_LSNX01022624	EFV	3	77	1	Ceratina_calcarata	LSNX01016155.1	8	289	282	negative
CerCal_55_LSNX01010037	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_55	CerCal_55_LSNX01010037	EFV	3	55	1	Ceratina_calcarata	LSNX01017109.1	3	281	279	negative
CerCal_37_LSNX01019655	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_37	CerCal_37_LSNX01019655	EFV	3	37	1	Ceratina_calcarata	LSNX01017523.1	3	281	279	positive
CerCal_60_LSNX01015710	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_60	CerCal_60_LSNX01015710	EFV	3	60	1	Ceratina_calcarata	LSNX01017576.1	2	280	279	negative
CerCal_61_LSNX01035444	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_61	CerCal_61_LSNX01035444	EFV	3	61	1	Ceratina_calcarata	LSNX01017633.1	2	280	279	negative
CerCal_80_LSNX01019418	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_80	CerCal_80_LSNX01019418	EFV	3	80	1	Ceratina_calcarata	LSNX01018195.1	2	277	276	negative
CerCal_44_LSNX01001307	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_44	CerCal_44_LSNX01001307	EFV	3	44	1	Ceratina_calcarata	LSNX01019418.1	2	271	270	positive
CerCal_46_LSNX01044617	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_46	CerCal_46_LSNX01044617	EFV	3	46	1	Ceratina_calcarata	LSNX01019655.1	2	271	270	negative
CerCal_71_LSNX01008620	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_71	CerCal_71_LSNX01008620	EFV	3	71	1	Ceratina_calcarata	LSNX01019724.1	2	268	267	positive
CerCal_62_LSNX01030536	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_62	CerCal_62_LSNX01030536	EFV	3	62	1	Ceratina_calcarata	LSNX01021754.1	3	260	258	positive
CerCal_7_LSNX01000419	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_7	CerCal_7_LSNX01000419	EFV	3	7	1	Ceratina_calcarata	LSNX01022530.1	1058	3373	2316	negative
CerCal_75_LSNX01007166	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_75	CerCal_75_LSNX01007166	EFV	3	75	1	Ceratina_calcarata	LSNX01022624.1	1	255	255	positive
CerCal_56_LSNX01035027	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_56	CerCal_56_LSNX01035027	EFV	3	56	1	Ceratina_calcarata	LSNX01022802.1	2	253	252	negative
CerCal_83_LSNX01047144	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_83	CerCal_83_LSNX01047144	EFV	3	83	1	Ceratina_calcarata	LSNX01023177.1	61	255	195	positive
CerCal_68_LSNX01022530	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_68	CerCal_68_LSNX01022530	EFV	3	68	1	Ceratina_calcarata	LSNX01023980.1	2	250	249	positive
CerCal_76_LSNX01005859	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_76	CerCal_76_LSNX01005859	EFV	3	76	1	Ceratina_calcarata	LSNX01026740.1	55	240	186	negative
CerCal_79_LSNX01042962	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_79	CerCal_79_LSNX01042962	EFV	3	79	1	Ceratina_calcarata	LSNX01026984.1	1	240	240	negative
CerCal_72_LSNX01016155	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_72	CerCal_72_LSNX01016155	EFV	3	72	1	Ceratina_calcarata	LSNX01027129.1	56	241	186	negative
CerCal_82_LSNX01000230	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_82	CerCal_82_LSNX01000230	EFV	3	82	1	Ceratina_calcarata	LSNX01027654.1	2	172	171	positive
CerCal_89_LSNX01027654	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_89	CerCal_89_LSNX01027654	EFV	3	89	1	Ceratina_calcarata	LSNX01027670.1	92	238	147	negative
CerCal_51_LSNX01031839	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_51	CerCal_51_LSNX01031839	EFV	3	51	1	Ceratina_calcarata	LSNX01029144.1	3	233	231	positive
CerCal_52_LSNX01017576	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_52	CerCal_52_LSNX01017576	EFV	3	52	1	Ceratina_calcarata	LSNX01029438.1	3	233	231	positive
CerCal_69_LSNX01030159	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_69	CerCal_69_LSNX01030159	EFV	3	69	1	Ceratina_calcarata	LSNX01029617.1	1	231	231	negative
CerCal_9_LSNX01005227	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_9	CerCal_9_LSNX01005227	EFV	3	9	1	Ceratina_calcarata	LSNX01030159.1	1	2334	2334	negative
