"organism","target_version"
"Drosophila_biarmipes","Dbia_2.0"
"Drosophila_arizonae","v1"
"Drosophila_ananassae","Dbia_2.0"
"Diuraphis_noxia","Dnoxia_1.0"
"Dinoponera_quadriceps","ASM131382v1"
"Diaphorina_citri","v1.1"
"Diachasma_alloeum","Dall1.0"
"Danaus_plexippus","DanPle_1.0"
"Dactylopius_coccus","ASM83368v1"
"Cyphomyrmex_costatus","Ccosl1.0"
"Cotesia_vestalis","ASM95615v1"
"Chaoborus_trivitattus","ASM101481v1"
"Ceratosolen_solmsi","CerSol_1.0"
"Cerapachys_biroi","CerBir1.0"
"Catajapyx_aquilonaris","Caqu_1.0"
"Camponotus_floridanus","CamFlo_1.0"
"Calycopis_cecrops","v2"
"Calliphora_vicina","ASM101727v1"
"Baetis_rhodani","B_61"
"Bactrocera_tryoni","Assembly_2.2"
"Bactrocera_dorsalis","ASM78921v2"
"Bactrocera_cucurbitae","ASM80634v1"
"Atta_colombica","Acol1.0"
"Apis_mellifera","Amel_4.5"
"Apis_florea","Aflo_1.0"
"Apis_dorsata","Apis_dorsata_1.3"
"Apis_cerana","ACSNU-2.0"
"Ceratina_calcarata","ASM165200v1"
"Ceratitis_capitata","Ccap_1.1"
"Chilo_suppressalis","CsuOGS1.0"
"Chironomus_tentans","CT01"
"Coboldia_fuscipes","ASM101450v1"
"Condylostylus_patibulatus","ASM101487v1"
"Diaphorina_citri","version_1.1"
"Ephydra_gracilis","ASM101467v1"
"Ephydra_hians","ASM101507v1"
"Eutreta_diana","ASM101511v1"
"Gerris_buenoi","Gbue_1.0"
"Glossina_brevipalpis","v1.0.3"
"Glossina_fuscipes_fuscipes","v3.0.2"
"Glossina_morsitans","ASM101451v1"
"Heliconius_cydno_cordula","M2258"
"Heliconius_elevatus","09-343"
"Heliconius_ethilla_aerotome","09-67"
"Heliconius_hecale_felix","09-273"
"Heliconius_ismenius","STRI_003"
"Heliconius_melpomene","ASM31383v2"
"Heliconius_pardalinus_sergestus","09-202"
"Heliconius_timareta_thelxinoe",8624
"Hermetia_illucens","ASM101489v1"
"Holcocephala_fusca","ASM101521v1"
"Isoperla_grammatica","iso_kmer61"
"Nicrophorus_vespilloides","Nicve_v1.0"
"Themira_minor","ASM101457v1"
"Ixodes_ricinus","ASM97304v1"
"Thelohanellus_kitauei","ASM82789v1"
"Varroa_destructor","BRL_Vdes_1.0"
"Homalodisca_vitripennis","Hvit_1.0"
"Lucilia_cuprina","Lcup_1.0"
"Lucilia_sericata","ASM101483v1"
"Manduca_sexta","Msex_1.0"
"Mayetiola_destructor","Mdes_1.0"
"Megaselia_abdita","ASM101517v1"
"Melipona_quadrifasciata","ASM127656v1"
"Mengenilla_moldrzyki","Memo_1.0"
"Mochlonyx_cinctipes","ASM101484v1"
"Monomorium_pharaonis","V2.0"
"Nasonia_longicornis","Nlon_1.0"
"Nilaparvata_lugens","NilLug1.0"
"Onthophagus_taurus","Otau_1.0"
"Phlebotomus_papatasi","Ppap_1.0"
"Solenopsis_invicta","Si_gnG"
"Triops_cancriformis","tcf_1.0"
"Amphinemura_sulcicollis","ASM167632v1"
"Anopheles_dirus","Anop_diru_WRAIR2_V1"
"Anopheles_koliensis","ASM95627v1"
"Anopheles_maculatus","Anop_macu_maculatus3_V1"
"Anopheles_melas","Anop_mela_CM1001059_A_V2"
"Anopheles_merus","Anop_meru_MAF_V1"
"Anopheles_minimus","Anop_mini_MINIMUS1_V1"
"Anopheles_nili","Anili1"
"Blattella_germanica","Bger_1.0"
"Botryllus_schlosseri","356a-chromosome-assembly"
"Caligus_rogercresseyi","crog_female_v1"
"Chironomus_riparius","ASM101450v1"
"Dermatophagoides_farinae","Dfarinae1.0"
"Lytechinus_variegatus","Lvar_2.2"
"Ophiothrix_spiculata",1.0
"Patiria_miniata",1.0
"Drosophila_americana","H5_strain_v1"
"Glossina_austeni","1.0.3"
"Glossina_pallidipes","1.0.3"
"Cimex_lectularius","Clec_1.0"
"Clogmia_albipunctata","GCA_001014945"
"Drosophila_albomicans","DroAlb_1.0"
"Drosophila_erecta","dere_caf1"
"Drosophila_eugracilis","Deug_2.0"
"Drosophila_ficusphila","Dfic_2.0"
"Drosophila_grimshawi","dgri_caf1"
"Habropoda_laboriosa","ASM126327v1"
"Leptinotarsa_decemlineata","GCA_000500325"
"Zaprionus_indianus","ZP_IN_1.0"
"Ladona_fulva","Lful_1.0"
"Lasioglossum_albipes","ASM34657v1"
"Lasius_niger","ASM104565v1"
"Hypothenemus_hampei","ASM101285v1"
"Lerema_accius","lac_assembly_V1"
"Lutzomyia_longipalpis","Llon_1.0"
"Orchesella_cincta","ASM171814v1"
"Bemisia_tabaci","ASM185493v1"
"Copidosoma_floridanum","Cflo_1.0"
"Pieris_rapae","3842_assembly_v2"
"Aethina_tumida","Atum_1.0"
"Anopheles_funestus","FUMOZ_V1"
"Bactrocera_latifrons","ASM185335v1"
"Cirrula_hians","ASM101507v1"
"Clunio_marinus","CLUMA_1.0"
"Drosophila_kikkawai","Dkik_2.0"
"Drosophila_mojavensis","dmoj_caf1"
"Drosophila_persimilis","dper_caf1"
"Drosophila_pseudoobscura","Dpse_3.0"
"Drosophila_rhopaloa","Drho_2.0"
"Drosophila_sechellia","dsec_caf1"
"Drosophila_yakuba","dyak_caf1"
"Eufriesea_mexicana","ASM148370v1"
"Myzus_persicae","MPER_G0061.0"
"Papilio_glaucus","pgl_assembly_v1"
"Proctacanthus_coquilletti","200kmer_750"
"Pseudomyrmex_gracilis","ASM200609v1"
"Drosophila_simulans","ASM75419v2"
"Drosophila_suzukii","Dsuzukii.v01"
"Drosophila_takahashii","Dtak_2.0"
"Drosophila_virilis","dvir_caf1"
"Drosophila_willistoni","dwil_caf"
"Eristalis_dimidiata","ASM101514v1"
"Glossina_palpalis_gambiensis","2.0.1"
"Heliconius_numata_arcuella","05-1277"
"Leptopilina_clavipes","ASM185565v1"
"Microplitis_demolitor","Mdem2"
"Nasonia_giraulti","Ngir_1.0"
"Neobellieria_bullata","ASM101745v1"
"Piezodorus_guildinii","Piez_guildinii_1"
"Rhagoletis_zephyria","RhaZep_1.0"
"Strigamia_maritima","Smar_1.0"
"Apostichopus_japonicus","v1"
"Eisenia_fetida","SoapK31"
"Mesobuthus_martensii","v1"
"Parastichopus_parvimensis","Ppar_1.0"
"Galendromus_occidentalis","Mocc_1.0_"
"Salpa_thompsoni","v1.0"
"Tropilaelaps_mercedesae","v01"
"Amanita_polypyramis","ASM169175v1"
"Daphnia_magna","daphmag2.4"
"Daphnia_pulex","V1.0"
"Dermatophagoides_pteronyssinus","ASM190122v1"
"Eucidaris_tribuloides","Etri_1.0"
"Eurytemora_affinis","Eaff_1.0"
"Exaiptasia_pallida",1.1
"Latrodectus_hesperus","Lhes_1.0"
"Modiolus_philippinarum","Mph_v1.0"
"Oithona_nana","O_NANA_1"
"Orbicella_faveolata","ofav_dov_v1"
"Ramazzottius_varieornatus","Rvar_4.0"
"Trichoplax_adhaerens","v1.0"
"Euperipatoides_rowelli","Erow"
"Ancylostoma_ceylanicum","Acey_2013.11.30"
"Ancylostoma_duodenale","A_duodenale_2.2"
"Angiostrongylus_cantonensis","A_cantonensis"
"Angiostrongylus_costaricensis","A_costaricensis"
"Brugia_timori","v1_0_4"
"Gyrodactylus_salaris","Gsalaris_v1"
"Protopolystoma_xenopodis","P_xenopodis_South_Africa"
"Taenia_solium","MEX.1-6-13"
"Capitella_teleta","Capca1"
"Schistosoma_mansoni","ASM23792v2"
"Laparus_doris","Heliconius_doris_doris.CAM008684"
"Ooceraea_biroi","CerBir1.0"
"Phormia_regina","ASM173554v1"
"Plodia_interpunctella","Plodia_dt"
"Pseudococcus_longispinus","PLON"
"Trachymyrmex_zeteki","Tzet1.0"
"Trionymus_perrisii","TPER"
"Zeugodacus_cucurbitae","ASM80634v1"
"unclassified_Sarcophagidae","ASM104719v1"
"unclassified_Trichoceridae","ASM101442v1"
"Dryococelus_australis","ASM223695v1"
"Laupala_kohalensis","ASM231320v1"
"Pogonus_chalceus","Pchal_1.0"
"Apostichopus_japonicus","ASM275485v1"
"Holacanthella_duospinosa","ASM273828v1"
"Anopheles_aquasalis","A_aquasalis_v1.0"
"Procambarus_virginalis","Pvir0.4"
"Timema_cristinae","tcristinae_2.1"
"Cassiopea_xamachana","GCA_900291935"
"Psoroptes_ovis","GCA_002943765"
"Drosophila_montana","ASM308661v1"
"Temnothorax_curvispinosus","ASM307098v1"
"Aphaenogaster_miamiana","GCA_003063725"
"Aplysina_aerophoba","GCA_900275595"
"Cordylochernes_scorpioides","GCA_003123905"
"Cryptotermes_secundus","GCA_002891405"
"Hemicentrotus_pulcherrimus","HpulGenome_v1"
"Limnoperna_fortunei","GCA_003130415"
"Diaci_psyllid","v1.1"
"Achalarus_lyciades","3311_assembly_v1_with_mito"
"Haematobia_irritans","v1.0"
"Leptopilina_boulardi","ASM312160v1"
"Meloidogyne_arenaria","ASM313380v1"
"Porites_rus","Prus"
"Eupelmus_urozonus","Euro"
"Ormyrus_pomaceus","Opom"
"Megastigmus_stigmatizans","Msti"
"Megastigmus_dorsalis","Mdor"
"Lednia_tumana","Ltum_v1.0"
"Cecidostiba_semifascia","Csem"
"Cecidostiba_fungosa","Cfun"
"Torymus_geranii","Tger"
"Synergus_umbraculus","Sumb"
"Synergus_japonicus","Synjap"
"Sipha_flava","YSA_version1"
"Schizaphis_graminum","ASM326497v1"
"Glossosoma_conforme","GCA_003347265.1_ASM334726v1"
"Haliotis_rufescens","GCA_003343065.1_H.ruf_v1.0"
"Ctenocephalides_felis","ASM342690v1"
"Cydia_pomonella","GCA_003425675"
"Craspedacusta_sowerbyi","ASM368756v1"
"Dinothrombium_tinctorium","ASM367599v1"
"Leptotrombidium_deliense","ASM367590v1"
"Megathymus_ursus_violae","mvi_v1"
"Saccostrea_glomerata","Sgl1.0"
"Rhopalosiphum_maidis","ASM367621v1"
"Nomia_melanderi","GCA_003710045"
"Peromyscus_polionotus","GCA_003704135.1"
"Pocillopora_damicornis","GCA_003704095.1"
"Loxechinus_albus","gloria1"
"Xenocatantops_brachycerus","ASM90024965v1"
"Andricus_curvator","Andcurv"
"Andricus_quercusramuli","Andqra"
"Clonorchis_sinensis","ASM360417v1"
"Eurytoma_adleriae","Eadl"
"Eurytoma_brunniventris","Ebru"
"Fasciola_hepatica","Fasciola_10x_pilon"
"Haliotis_rubra","ASM391887v1"
"Macrostomum_lignano","Mlig_3_7"
"Opisthorchis_viverrini","O_viverrini_1.0"
"Schmidtea_mediterranea","ASM260089v1"
"Torymus_auratus","Taur_genomic"
"Euschistus_heros","GCA_003667255"
"Formica_exsecta","GCA_003651465"
"Penaeus_vannamei","GCA_003789085"
"Harmonia_axyridis","Haxy_hC_NT6_v1"
"Scaptomyza_flava","Sfla_v1"
"Elysia_chlorotica","ElyChl2.0"
"Morbakka_virulenta","MVIv1"
"Aphis_gossypii","ASM401081v1"
"Chilo_suppressalis","ASM400044v1"
"Armadillidium_vulgare","Arma_vul_BF2787"
"Hydra_viridissima","Hvir_v1"
"Sinella_curviseta","ASM411504v1"
"Anopheles_funestus","AfunF3"
"Lymantria_dispar_dispar","ASM411510v1"
"Tachypleus_tridentatus","TAL_UN_1.0"
"Aurelia_aurita","ABSv1"
"Cochliomyia_hominivorax","ASM430292v1"
"Ditylenchus_dipsaci","D.dipsaci.v1.0"
"Heterodera_glycines","Hetgly_1"
"Asbolus_verrucosus","BDFB_1.0"
"Cataglyphis_hispanica","ASM419527v1"
"Ceratina_australensis","ASM430768v1"
"Osmia_bicornis_bicornis","Obicornis_v3"
"Ostrinia_furnacalis","ASM419383v1"
"Atta_texana","UT_Atex_0.2"
"Drosophila_innubila","UK_Dinn_1.0"
"Galleria_mellonella","Honeycombmoth_v1"
"Hofstenia_miamia","Hmi_1.0"
"Oryzaephilus_surinamensis","ASM479650v1"
"Popillia_japonica","GSC_JBeet_1.0"
"Tuta_absoluta","ASM479911v1"
"Hyphantria_cunea","ASM370950v1"
"Aedes_albopictus","Aalbo_primary.1"
"Anopheles_bwambae","Abwa2"
"Architeuthis_dux","UP_Adux"
"Argopecten_irradians_concentricus","QAU_Acon_1.1"
"Argopecten_irradians_irradians","QAU_Airr_1.1"
"Dasypogon_diadema","ASM698073v1"
"Lepidurus_apus_lubbocki","Lubb2018"
"Lepidurus_arcticus","ASM372404v1"
"Marisa_cornuarietis","Mca_v2.0"
"Mollusca","low_coverage"
"Octopus_vulgaris","ASM634580v1"
"Pomacea_maculata","ASM479432v1"
"Arthropoda","low_coverage"
"Dysdera_silvatica","Dsil"
"Lanistes_nyassanus","ASM479457v1"
"Montipora_capitata","Mcap_UHH_1.1"
"Sinonovacula_constricta","ASM784412v1"
"Chrysomallon_squamiferum","Csq_v1"
