sequenceID	name	full_name	class	integration	fragment	duplicate	organism	scaffold	start	end	length	orientation	sublineage	subfamily	genus	clade
EufMex_21_NW_016907884	EufMex_21	EufMex_21_NW_016907884	EFV	3	21	1	Eufriesea_mexicana	NW_016907884.1	370	642	273	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
EufMex_15_NW_016910756	EufMex_15	EufMex_15_NW_016910756	EFV	3	15	1	Eufriesea_mexicana	NW_016910756.1	8952	13723	4772	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
EufMex_17_NW_016911683	EufMex_17	EufMex_17_NW_016911683	EFV	3	17	1	Eufriesea_mexicana	NW_016911683.1	5517	7069	1553	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
EufMex_28_NW_016914389	EufMex_28	EufMex_28_NW_016914389	EFV	3	28	1	Eufriesea_mexicana	NW_016914389.1	28582	29352	771	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
EufMex_34_NW_016915982	EufMex_34	EufMex_34_NW_016915982	EFV	3	34	1	Eufriesea_mexicana	NW_016915982.1	26171	26924	754	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
EufMex_27_NW_016916939	EufMex_27	EufMex_27_NW_016916939	EFV	3	27	1	Eufriesea_mexicana	NW_016916939.1	45737	50177	4441	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
EufMex_33_NW_016923200	EufMex_33	EufMex_33_NW_016923200	EFV	3	33	1	Eufriesea_mexicana	NW_016923200.1	656	826	171	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
EufMex_18_NW_016930208	EufMex_18	EufMex_18_NW_016930208	EFV	3	18	1	Eufriesea_mexicana	NW_016930208.1	3	828	826	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
EufMex_31_NW_016930386	EufMex_31	EufMex_31_NW_016930386	EFV	3	31	1	Eufriesea_mexicana	NW_016930386.1	38731	39687	957	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
EufMex_32_NW_016934935	EufMex_32	EufMex_32_NW_016934935	EFV	3	32	1	Eufriesea_mexicana	NW_016934935.1	82	381	300	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
EufMex_23_NW_016935298	EufMex_23	EufMex_23_NW_016935298	EFV	3	23	1	Eufriesea_mexicana	NW_016935298.1	16136	16729	594	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
EufMex_20_NW_016993331	EufMex_20	EufMex_20_NW_016993331	EFV	3	20	1	Eufriesea_mexicana	NW_016993331.1	3	257	255	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
EufMex_26_NW_017010398	EufMex_26	EufMex_26_NW_017010398	EFV	3	26	1	Eufriesea_mexicana	NW_017010398.1	37	204	168	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
EufMex_24_NW_017014459	EufMex_24	EufMex_24_NW_017014459	EFV	3	24	1	Eufriesea_mexicana	NW_017014459.1	17	196	180	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
EufMex_19_NW_017058141	EufMex_19	EufMex_19_NW_017058141	EFV	3	19	1	Eufriesea_mexicana	NW_017058141.1	1	234	234	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
EufMex_25_NW_017076911	EufMex_25	EufMex_25_NW_017076911	EFV	3	25	1	Eufriesea_mexicana	NW_017076911.1	1	267	267	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
EufMex_22_NW_017077887	EufMex_22	EufMex_22_NW_017077887	EFV	3	22	1	Eufriesea_mexicana	NW_017077887.1	92	271	180	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
EufMex_29_NW_017092148	EufMex_29	EufMex_29_NW_017092148	EFV	3	29	1	Eufriesea_mexicana	NW_017092148.1	43	453	411	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
EufMex_30_NW_017092964	EufMex_30	EufMex_30_NW_017092964	EFV	3	30	1	Eufriesea_mexicana	NW_017092964.1	124	612	489	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
EufMex_14_NW_017094858	EufMex_14	EufMex_14_NW_017094858	EFV	3	14	1	Eufriesea_mexicana	NW_017094858.1	139	1266	1128	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_41_NW_017100152	HabLab_41	HabLab_41_NW_017100152	EFV	3	41	1	Habropoda_laboriosa	NW_017100152.1	1892731	1896951	4221	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_39_NW_017100158	HabLab_39	HabLab_39_NW_017100158	EFV	3	39	1	Habropoda_laboriosa	NW_017100158.1	320175	321185	1011	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_35_NW_017100158	HabLab_35	HabLab_35_NW_017100158	EFV	3	35	1	Habropoda_laboriosa	NW_017100158.1	327149	330570	3422	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_46_NW_017100164	HabLab_46	HabLab_46_NW_017100164	EFV	3	46	1	Habropoda_laboriosa	NW_017100164.1	1459463	1461215	1753	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_36_NW_017100254	HabLab_36	HabLab_36_NW_017100254	EFV	3	36	1	Habropoda_laboriosa	NW_017100254.1	262245	264713	2469	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_51_NW_017100267	HabLab_51	HabLab_51_NW_017100267	EFV	3	51	1	Habropoda_laboriosa	NW_017100267.1	190333	190705	373	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_50_NW_017100298	HabLab_50	HabLab_50_NW_017100298	EFV	3	50	1	Habropoda_laboriosa	NW_017100298.1	209745	210071	327	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_58_NW_017100298	HabLab_58	HabLab_58_NW_017100298	EFV	3	58	1	Habropoda_laboriosa	NW_017100298.1	256439	256663	225	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_44_NW_017100316	HabLab_44	HabLab_44_NW_017100316	EFV	3	44	1	Habropoda_laboriosa	NW_017100316.1	36036	38377	2342	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_43_NW_017100397	HabLab_43	HabLab_43_NW_017100397	EFV	3	43	1	Habropoda_laboriosa	NW_017100397.1	922978	924362	1385	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_57_NW_017100397	HabLab_57	HabLab_57_NW_017100397	EFV	3	57	1	Habropoda_laboriosa	NW_017100397.1	955329	955526	198	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_56_NW_017100426	HabLab_56	HabLab_56_NW_017100426	EFV	3	56	1	Habropoda_laboriosa	NW_017100426.1	163639	163869	231	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_42_NW_017100498	HabLab_42	HabLab_42_NW_017100498	EFV	3	42	1	Habropoda_laboriosa	NW_017100498.1	182171	184625	2455	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_45_NW_017100671	HabLab_45	HabLab_45_NW_017100671	EFV	3	45	1	Habropoda_laboriosa	NW_017100671.1	48754	49857	1104	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_40_NW_017100753	HabLab_40	HabLab_40_NW_017100753	EFV	3	40	1	Habropoda_laboriosa	NW_017100753.1	21612	24634	3023	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_53_NW_017100786	HabLab_53	HabLab_53_NW_017100786	EFV	3	53	1	Habropoda_laboriosa	NW_017100786.1	199006	199657	652	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_55_NW_017100814	HabLab_55	HabLab_55_NW_017100814	EFV	3	55	1	Habropoda_laboriosa	NW_017100814.1	92423	92794	372	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_38_NW_017100833	HabLab_38	HabLab_38_NW_017100833	EFV	3	38	1	Habropoda_laboriosa	NW_017100833.1	47702	49563	1862	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_47_NW_017100896	HabLab_47	HabLab_47_NW_017100896	EFV	3	47	1	Habropoda_laboriosa	NW_017100896.1	321642	323854	2213	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_49_NW_017100971	HabLab_49	HabLab_49_NW_017100971	EFV	3	49	1	Habropoda_laboriosa	NW_017100971.1	94311	94915	605	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_54_NW_017101204	HabLab_54	HabLab_54_NW_017101204	EFV	3	54	1	Habropoda_laboriosa	NW_017101204.1	28357	28578	222	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_37_NW_017101451	HabLab_37	HabLab_37_NW_017101451	EFV	3	37	1	Habropoda_laboriosa	NW_017101451.1	32588	36294	3707	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_48_NW_017102650	HabLab_48	HabLab_48_NW_017102650	EFV	3	48	1	Habropoda_laboriosa	NW_017102650.1	6717	7145	429	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
HabLab_52_NW_017123952	HabLab_52	HabLab_52_NW_017123952	EFV	3	52	1	Habropoda_laboriosa	NW_017123952.1	2	247	246	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
LasAlb_64_KB639126	LasAlb_64	LasAlb_64_KB639126	EFV	3	64	1	Lasioglossum_albipes	KB639126.1	27398	28416	1019	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
LasAlb_59_KB639126	LasAlb_59	LasAlb_59_KB639126	EFV	3	59	1	Lasioglossum_albipes	KB639126.1	54847	55593	747	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
LasAlb_63_KB640114	LasAlb_63	LasAlb_63_KB640114	EFV	3	63	1	Lasioglossum_albipes	KB640114.1	14000	14575	576	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
LasAlb_60_KB640877	LasAlb_60	LasAlb_60_KB640877	EFV	3	60	1	Lasioglossum_albipes	KB640877.1	76903	81999	5097	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
LasAlb_61_KB641283	LasAlb_61	LasAlb_61_KB641283	EFV	3	61	1	Lasioglossum_albipes	KB641283.1	430729	430911	183	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
LasAlb_62_KB641373	LasAlb_62	LasAlb_62_KB641373	EFV	3	62	1	Lasioglossum_albipes	KB641373.1	445	1020	576	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_4_NW_003797111	MetRot	MetRot_4_NW_003797111	EFV	3	4	1	Megachile_rotundata	NW_003797111	67412	71386	3975	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_1_NW_003797121	MetRot	MetRot_1_NW_003797121	EFV	3	1	1	Megachile_rotundata	NW_003797121	20669	27478	6810	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_16_NW_003797189	MetRot	MetRot_16_NW_003797189	EFV	3	16	1	Megachile_rotundata	NW_003797189	124287	125051	765	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_14_NW_003797238	MetRot	MetRot_14_NW_003797238	EFV	3	14	1	Megachile_rotundata	NW_003797238	319277	320197	921	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_35_NW_003797238	MetRot	MetRot_35_NW_003797238	EFV	3	35	1	Megachile_rotundata	NW_003797238	330455	330616	162	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_24_NW_003797246	MetRot	MetRot_24_NW_003797246	EFV	3	24	1	Megachile_rotundata	NW_003797246	118872	121060	2189	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_20_NW_003797246	MetRot	MetRot_20_NW_003797246	EFV	3	20	1	Megachile_rotundata	NW_003797246	130490	133971	3482	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_17_NW_003797246	MetRot	MetRot_17_NW_003797246	EFV	3	17	1	Megachile_rotundata	NW_003797246	137037	138326	1290	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_9_NW_003797272	MetRot	MetRot_9_NW_003797272	EFV	3	9	1	Megachile_rotundata	NW_003797272	83178	85367	2190	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_34_NW_003797288	MetRot	MetRot_34_NW_003797288	EFV	3	34	1	Megachile_rotundata	NW_003797288	39710	39925	216	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_23_NW_003797288	MetRot	MetRot_23_NW_003797288	EFV	3	23	1	Megachile_rotundata	NW_003797288	44833	45606	774	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_26_NW_003797298	MetRot	MetRot_26_NW_003797298	EFV	3	26	1	Megachile_rotundata	NW_003797298	3077	3696	620	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_25_NW_003797445	MetRot	MetRot_25_NW_003797445	EFV	3	25	1	Megachile_rotundata	NW_003797445	110805	111215	411	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_15_NW_003797490	MetRot	MetRot_15_NW_003797490	EFV	3	15	1	Megachile_rotundata	NW_003797490	234	1725	1492	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_12_NW_003797490	MetRot	MetRot_12_NW_003797490	EFV	3	12	1	Megachile_rotundata	NW_003797490	10066	11127	1062	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_3_NW_003797511	MetRot	MetRot_3_NW_003797511	EFV	3	3	1	Megachile_rotundata	NW_003797511	421737	427560	5824	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_8_NW_003797511	MetRot	MetRot_8_NW_003797511	EFV	3	8	1	Megachile_rotundata	NW_003797511	439045	440601	1557	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_2_NW_003797545	MetRot	MetRot_2_NW_003797545	EFV	3	2	1	Megachile_rotundata	NW_003797545	58856	68569	9714	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_19_NW_003797570	MetRot	MetRot_19_NW_003797570	EFV	3	19	1	Megachile_rotundata	NW_003797570	46464	47877	1414	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_6_NW_003797584	MetRot	MetRot_6_NW_003797584	EFV	3	6	1	Megachile_rotundata	NW_003797584	8584	12109	3526	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_27_NW_003797584	MetRot	MetRot_27_NW_003797584	EFV	3	27	1	Megachile_rotundata	NW_003797584	14447	14890	444	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_13_NW_003797647	MetRot	MetRot_13_NW_003797647	EFV	3	13	1	Megachile_rotundata	NW_003797647	50884	54004	3121	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_10_NW_003797810	MetRot	MetRot_10_NW_003797810	EFV	3	10	1	Megachile_rotundata	NW_003797810	4580	12004	7425	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_7_NW_003797921	MetRot	MetRot_7_NW_003797921	EFV	3	7	1	Megachile_rotundata	NW_003797921	3441	6609	3169	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_29_NW_003797921	MetRot	MetRot_29_NW_003797921	EFV	3	29	1	Megachile_rotundata	NW_003797921	9266	9727	462	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_5_NW_003797921	MetRot	MetRot_5_NW_003797921	EFV	3	5	1	Megachile_rotundata	NW_003797921	11174	17373	6200	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_32_NW_003798105	MetRot	MetRot_32_NW_003798105	EFV	3	32	1	Megachile_rotundata	NW_003798105	79	435	357	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_18_NW_003798129	MetRot	MetRot_18_NW_003798129	EFV	3	18	1	Megachile_rotundata	NW_003798129	49028	50534	1507	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_21_NW_003798129	MetRot	MetRot_21_NW_003798129	EFV	3	21	1	Megachile_rotundata	NW_003798129	52604	53275	672	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_11_NW_003798350	MetRot	MetRot_11_NW_003798350	EFV	3	11	1	Megachile_rotundata	NW_003798350	3	1343	1341	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_31_NW_003799095	MetRot	MetRot_31_NW_003799095	EFV	3	31	1	Megachile_rotundata	NW_003799095	161	708	548	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_28_NW_003800314	MetRot	MetRot_28_NW_003800314	EFV	3	28	1	Megachile_rotundata	NW_003800314	1	357	357	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_36_NW_003800315	MetRot	MetRot_36_NW_003800315	EFV	3	36	1	Megachile_rotundata	NW_003800315	191	343	153	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_33_NW_003801728	MetRot	MetRot_33_NW_003801728	EFV	3	33	1	Megachile_rotundata	NW_003801728	3	254	252	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_30_NW_003802216	MetRot	MetRot_30_NW_003802216	EFV	3	30	1	Megachile_rotundata	NW_003802216	18	305	288	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
MetRot_22_NW_003803131	MetRot	MetRot_22_NW_003803131	EFV	3	22	1	Megachile_rotundata	NW_003803131	4	921	918	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_109_REGV01000573	NomMel_109	NomMel_109_REGV01000573	EFV	3	109	1	Nomia_melanderi	REGV01000573.1	4789683	4789934	252	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_114_REGV01000573	NomMel_114	NomMel_114_REGV01000573	EFV	3	114	1	Nomia_melanderi	REGV01000573.1	4792039	4792737	699	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_71_REGV01000573	NomMel_71	NomMel_71_REGV01000573	EFV	3	71	1	Nomia_melanderi	REGV01000573.1	4809615	4809860	246	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_120_REGV01000573	NomMel_120	NomMel_120_REGV01000573	EFV	3	120	1	Nomia_melanderi	REGV01000573.1	4811830	4812267	438	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_121_REGV01004661	NomMel_121	NomMel_121_REGV01004661	EFV	3	121	1	Nomia_melanderi	REGV01004661.1	202746	203556	811	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_73_REGV01013577	NomMel_73	NomMel_73_REGV01013577	EFV	3	73	1	Nomia_melanderi	REGV01013577.1	2	412	411	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_91_REGV01015499	NomMel_91	NomMel_91_REGV01015499	EFV	3	91	1	Nomia_melanderi	REGV01015499.1	1	411	411	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_106_REGV01016021	NomMel_106	NomMel_106_REGV01016021	EFV	3	106	1	Nomia_melanderi	REGV01016021.1	3	257	255	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_79_REGV01016176	NomMel_79	NomMel_79_REGV01016176	EFV	3	79	1	Nomia_melanderi	REGV01016176.1	8	256	249	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_82_REGV01016177	NomMel_82	NomMel_82_REGV01016177	EFV	3	82	1	Nomia_melanderi	REGV01016177.1	8	301	294	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_81_REGV01016959	NomMel_81	NomMel_81_REGV01016959	EFV	3	81	1	Nomia_melanderi	REGV01016959.1	2	298	297	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_117_REGV01018078	NomMel_117	NomMel_117_REGV01018078	EFV	3	117	1	Nomia_melanderi	REGV01018078.1	1	351	351	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_118_REGV01018080	NomMel_118	NomMel_118_REGV01018080	EFV	3	118	1	Nomia_melanderi	REGV01018080.1	1	351	351	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_78_REGV01028072	NomMel_78	NomMel_78_REGV01028072	EFV	3	78	1	Nomia_melanderi	REGV01028072.1	3	224	222	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_102_REGV01028599	NomMel_102	NomMel_102_REGV01028599	EFV	3	102	1	Nomia_melanderi	REGV01028599.1	2	571	570	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_100_REGV01028602	NomMel_100	NomMel_100_REGV01028602	EFV	3	100	1	Nomia_melanderi	REGV01028602.1	2	577	576	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_76_REGV01033365	NomMel_76	NomMel_76_REGV01033365	EFV	3	76	1	Nomia_melanderi	REGV01033365.1	1	384	384	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_107_REGV01033935	NomMel_107	NomMel_107_REGV01033935	EFV	3	107	1	Nomia_melanderi	REGV01033935.1	2	259	258	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_105_REGV01033936	NomMel_105	NomMel_105_REGV01033936	EFV	3	105	1	Nomia_melanderi	REGV01033936.1	2	301	300	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_65_REGV01034394	NomMel_65	NomMel_65_REGV01034394	EFV	3	65	1	Nomia_melanderi	REGV01034394.1	2	451	450	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_112_REGV01035729	NomMel_112	NomMel_112_REGV01035729	EFV	3	112	1	Nomia_melanderi	REGV01035729.1	1	231	231	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_113_REGV01035730	NomMel_113	NomMel_113_REGV01035730	EFV	3	113	1	Nomia_melanderi	REGV01035730.1	1	231	231	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_68_REGV01036200	NomMel_68	NomMel_68_REGV01036200	EFV	3	68	1	Nomia_melanderi	REGV01036200.1	2	472	471	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_111_REGV01037586	NomMel_111	NomMel_111_REGV01037586	EFV	3	111	1	Nomia_melanderi	REGV01037586.1	2	319	318	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_83_REGV01045940	NomMel_83	NomMel_83_REGV01045940	EFV	3	83	1	Nomia_melanderi	REGV01045940.1	3	257	255	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_84_REGV01045941	NomMel_84	NomMel_84_REGV01045941	EFV	3	84	1	Nomia_melanderi	REGV01045941.1	3	332	330	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
NomMel_115_REGV01048206	NomMel_115	NomMel_115_REGV01048206	EFV	3	115	1	Nomia_melanderi	REGV01048206.1	3	299	297	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
