sequenceID	referenceName	Genus	Clade	featureName	startNT	endNT
NC_002031	REF_MASTER_YFV	Flavivirus	Mosq2	structural_proteins	119	2452
NC_002031	REF_MASTER_YFV	Flavivirus	Mosq2	flavi-capsid	119	481
NC_002031	REF_MASTER_YFV	Flavivirus	Mosq2	premembrane	482	973
NC_002031	REF_MASTER_YFV	Flavivirus	Mosq2	flavi-envelope	974	2452
NC_002031	REF_MASTER_YFV	Flavivirus	Mosq2	non_structural_proteins	2453	10351
NC_002031	REF_MASTER_YFV	Flavivirus	Mosq2	NS1	2453	3508
NC_002031	REF_MASTER_YFV	Flavivirus	Mosq2	flavi-NS2A	3509	4180
NC_002031	REF_MASTER_YFV	Flavivirus	Mosq2	flavi-NS2B	4181	4570
NC_002031	REF_MASTER_YFV	Flavivirus	Mosq2	NS3	4571	6439
NC_002031	REF_MASTER_YFV	Flavivirus	Mosq2	flavi-NS4A	6440	6817
NC_002031	REF_MASTER_YFV	Flavivirus	Mosq2	2K	6818	6886
NC_002031	REF_MASTER_YFV	Flavivirus	Mosq2	flavi-NS4B	6887	7636
NC_002031	REF_MASTER_YFV	Flavivirus	Mosq2	NS5	7637	10351
NC_002031	REF_MASTER_YFV	Flavivirus	Mosq2	3UTR	10355	10862
NC_003676	REF_MASTER_APOIV	Flavivirus	NKV1	whole_genome	1	10116
NC_003676	REF_MASTER_APOIV	Flavivirus	NKV1	precursor_polyprotein	1	10116
NC_003676	REF_MASTER_APOIV	Flavivirus	NKV1	structural_proteins	1	2268
NC_003676	REF_MASTER_APOIV	Flavivirus	NKV1	flavi-capsid	1	330
NC_003676	REF_MASTER_APOIV	Flavivirus	NKV1	premembrane	331	813
NC_003676	REF_MASTER_APOIV	Flavivirus	NKV1	membrane	589	813
NC_003676	REF_MASTER_APOIV	Flavivirus	NKV1	flavi-envelope	814	2268
NC_003676	REF_MASTER_APOIV	Flavivirus	NKV1	NS1	2269	3327
NC_003676	REF_MASTER_APOIV	Flavivirus	NKV1	flavi-NS2A	3328	4002
NC_003676	REF_MASTER_APOIV	Flavivirus	NKV1	flavi-NS2B	4003	4392
NC_003676	REF_MASTER_APOIV	Flavivirus	NKV1	NS3	4393	6240
NC_003676	REF_MASTER_APOIV	Flavivirus	NKV1	flavi-NS4A	6241	6597
NC_003676	REF_MASTER_APOIV	Flavivirus	NKV1	2K	6598	6666
NC_003676	REF_MASTER_APOIV	Flavivirus	NKV1	flavi-NS4B	6667	7422
NC_003676	REF_MASTER_APOIV	Flavivirus	NKV1	NS5	7423	10113
NC_003676	REF_MASTER_APOIV	Flavivirus	NKV1	non_structural_proteins	2269	10116
NC_026624	REF_MASTER_SOKV	Flavivirus	NKV2	whole_genome	1	10242
NC_026624	REF_MASTER_SOKV	Flavivirus	NKV2	precursor_polyprotein	1	10242
NC_003687	REF_MASTER_POWV	Flavivirus	Tick	whole_genome	1	10839
NC_003687	REF_MASTER_POWV	Flavivirus	Tick	5UTR	1	111
NC_003687	REF_MASTER_POWV	Flavivirus	Tick	precursor_polyprotein	112	10359
NC_003687	REF_MASTER_POWV	Flavivirus	Tick	structural_proteins	112	2436
NC_003687	REF_MASTER_POWV	Flavivirus	Tick	flavi-capsid	112	441
NC_003687	REF_MASTER_POWV	Flavivirus	Tick	premembrane	442	945
NC_003687	REF_MASTER_POWV	Flavivirus	Tick	flavi-envelope	946	2436
NC_003687	REF_MASTER_POWV	Flavivirus	Tick	non_structural_proteins	2437	10356
NC_003687	REF_MASTER_POWV	Flavivirus	Tick	NS1	2437	3495
NC_003687	REF_MASTER_POWV	Flavivirus	Tick	flavi-NS2A	3496	4185
NC_003687	REF_MASTER_POWV	Flavivirus	Tick	flavi-NS2B	4186	4578
NC_003687	REF_MASTER_POWV	Flavivirus	Tick	NS3	4579	6444
NC_003687	REF_MASTER_POWV	Flavivirus	Tick	flavi-NS4A	6445	6822
NC_003687	REF_MASTER_POWV	Flavivirus	Tick	2K	6823	6891
NC_003687	REF_MASTER_POWV	Flavivirus	Tick	flavi-NS4B	6892	7647
NC_003687	REF_MASTER_POWV	Flavivirus	Tick	NS5	7648	10356
NC_003687	REF_MASTER_POWV	Flavivirus	Tick	3UTR	10357	10839
NC_004102	REF_MASTER_HEPACI_1_HCV	Hepacivirus	Hepaci1	whole_genome	1	9646
NC_004102	REF_MASTER_HEPACI_1_HCV	Hepacivirus	Hepaci1	5UTR	1	341
NC_004102	REF_MASTER_HEPACI_1_HCV	Hepacivirus	Hepaci1	precursor_polyprotein	342	9377
NC_004102	REF_MASTER_HEPACI_1_HCV	Hepacivirus	Hepaci1	structural_proteins	342	2579
NC_004102	REF_MASTER_HEPACI_1_HCV	Hepacivirus	Hepaci1	core	342	914
NC_004102	REF_MASTER_HEPACI_1_HCV	Hepacivirus	Hepaci1	e1_hepaci	915	1490
NC_004102	REF_MASTER_HEPACI_1_HCV	Hepacivirus	Hepaci1	e2_hepaci	1491	2579
NC_004102	REF_MASTER_HEPACI_1_HCV	Hepacivirus	Hepaci1	non_structural_proteins	2580	9374
NC_004102	REF_MASTER_HEPACI_1_HCV	Hepacivirus	Hepaci1	hepaci-p7	2580	2768
NC_004102	REF_MASTER_HEPACI_1_HCV	Hepacivirus	Hepaci1	hepaci-NS2	2769	3419
NC_004102	REF_MASTER_HEPACI_1_HCV	Hepacivirus	Hepaci1	NS3	3420	5312
NC_004102	REF_MASTER_HEPACI_1_HCV	Hepacivirus	Hepaci1	hepaci-NS4A	5313	5474
NC_004102	REF_MASTER_HEPACI_1_HCV	Hepacivirus	Hepaci1	hepaci-NS4B	5475	6257
NC_004102	REF_MASTER_HEPACI_1_HCV	Hepacivirus	Hepaci1	NS5	6258	9374
NC_004102	REF_MASTER_HEPACI_1_HCV	Hepacivirus	Hepaci1	NS5A	6258	7601
NC_004102	REF_MASTER_HEPACI_1_HCV	Hepacivirus	Hepaci1	NS5B	7602	9374
NC_004102	REF_MASTER_HEPACI_1_HCV	Hepacivirus	Hepaci1	3UTR	9378	9646
NC_001655	REF_MASTER_HEPACI_2_GBVB	Hepacivirus	Hepaci2	whole_genome	1	9399
NC_001655	REF_MASTER_HEPACI_2_GBVB	Hepacivirus	Hepaci2	precursor_polyprotein	446	9037
NC_001655	REF_MASTER_HEPACI_2_GBVB	Hepacivirus	Hepaci2	core	446	913
NC_001655	REF_MASTER_HEPACI_2_GBVB	Hepacivirus	Hepaci2	e1_hepaci	914	1492
NC_001655	REF_MASTER_HEPACI_2_GBVB	Hepacivirus	Hepaci2	e2_hepaci	1493	2452
NC_001655	REF_MASTER_HEPACI_2_GBVB	Hepacivirus	Hepaci2	hepaci-p7	2456	2641
NC_001655	REF_MASTER_HEPACI_2_GBVB	Hepacivirus	Hepaci2	hepaci-NS2	2642	3265
NC_001655	REF_MASTER_HEPACI_2_GBVB	Hepacivirus	Hepaci2	NS3	3266	5125
NC_001655	REF_MASTER_HEPACI_2_GBVB	Hepacivirus	Hepaci2	hepaci-NS4A	5126	5290
NC_001655	REF_MASTER_HEPACI_2_GBVB	Hepacivirus	Hepaci2	hepaci-NS4B	5291	6034
NC_001656	REF_MASTER_HEPACI_2_GBVB	Hepacivirus	Hepaci3	NS5	6035	9037
NC_001657	REF_MASTER_HEPACI_2_GBVB	Hepacivirus	Hepaci4	NS5A	6035	7267
NC_001658	REF_MASTER_HEPACI_2_GBVB	Hepacivirus	Hepaci5	NS5B	7268	9037
NC_038430	REF_MASTER_HEPACI_3_HCV_K	Hepacivirus	Hepaci3	whole_genome	1	9609
NC_038430	REF_MASTER_HEPACI_3_HCV_K	Hepacivirus	Hepaci3	precursor_polyprotein	281	9355
NC_038429	REF_MASTER_HEPACI_4_HCV_J	Hepacivirus	Hepaci4	whole_genome	1	9687
NC_038429	REF_MASTER_HEPACI_4_HCV_J	Hepacivirus	Hepaci4	precursor_polyprotein	558	9602
MN062427	REF_MASTER_HEPACI_5_BEHV	Hepacivirus	Hepaci5	whole_genome	1	11013
MN062427	REF_MASTER_HEPACI_5_BEHV	Hepacivirus	Hepaci5	precursor_polyprotein	578	10870
MT371439	REF_MASTER_HEPACI_6_GHV	Hepacivirus	Hepaci6	whole_genome	1	10199
MT371439	REF_MASTER_HEPACI_6_GHV	Hepacivirus	Hepaci6	precursor_polyprotein	3	10127
MG599993	REF_MASTER_HEPACI_7_WHCV	Hepacivirus	Hepaci7	whole_genome	1	10272
MG599993	REF_MASTER_HEPACI_7_WHCV	Hepacivirus	Hepaci7	precursor_polyprotein	174	10241
MG599990	REF_MASTER_HEPACI_8_WmeHCV	Hepacivirus	Hepaci8	whole_genome	1	8697
MG599990	REF_MASTER_HEPACI_8_WmeHCV	Hepacivirus	Hepaci8	precursor_polyprotein	1	8622
NC_028377	REF_MASTER_HEPACI_9_WLSV	Hepacivirus	Hepaci9	whole_genome	1	9653
NC_028377	REF_MASTER_HEPACI_9_WLSV	Hepacivirus	Hepaci9	precursor_polyprotein	132	9392
JMTV_CONCAT	REF_MASTER_JMTV_CONCAT	Jingmenvirus		whole_genome	1	5938
JMTV_CONCAT	REF_MASTER_JMTV_CONCAT	Jingmenvirus		seg3-NS3	117	2543
JMTV_CONCAT	REF_MASTER_JMTV_CONCAT	Jingmenvirus		seg1-NS5	2824	5673
REF_JMTV_Seg1	REF_MASTER_JMTV_Seg1	Jingmenvirus		whole_genome	1	3114
REF_JMTV_Seg1	REF_MASTER_JMTV_Seg1	Jingmenvirus		seg1-NS5	105	2849
REF_JMTV_Seg3	REF_MASTER_JMTV_Seg3	Jingmenvirus		whole_genome	1	2824
REF_JMTV_Seg3	REF_MASTER_JMTV_Seg3	Jingmenvirus		seg3-NS3	117	2543
NC_027998	REF_MASTER_PEGI_1_HPgV2	Pegivirus	Pegi1	whole_genome	1	9867
NC_027998	REF_MASTER_PEGI_1_HPgV2	Pegivirus	Pegi1	5UTR	1	327
NC_027998	REF_MASTER_PEGI_1_HPgV2	Pegivirus	Pegi1	precursor_polyprotein	328	9501
NC_027998	REF_MASTER_PEGI_1_HPgV2	Pegivirus	Pegi1	structural_proteins	328	2199
NC_027998	REF_MASTER_PEGI_1_HPgV2	Pegivirus	Pegi1	s_peptide	328	564
NC_027998	REF_MASTER_PEGI_1_HPgV2	Pegivirus	Pegi1	e1_hepaci	523	1137
NC_027998	REF_MASTER_PEGI_1_HPgV2	Pegivirus	Pegi1	e2_hepaci	1138	2199
NC_027998	REF_MASTER_PEGI_1_HPgV2	Pegivirus	Pegi1	x_peptide	2200	2910
NC_027998	REF_MASTER_PEGI_1_HPgV2	Pegivirus	Pegi1	non_structural_proteins	2911	9498
NC_027998	REF_MASTER_PEGI_1_HPgV2	Pegivirus	Pegi1	hepaci-NS2	2911	3630
NC_027998	REF_MASTER_PEGI_1_HPgV2	Pegivirus	Pegi1	NS3	3631	5514
NC_027998	REF_MASTER_PEGI_1_HPgV2	Pegivirus	Pegi1	hepaci-NS4A	5515	5637
NC_027998	REF_MASTER_PEGI_1_HPgV2	Pegivirus	Pegi1	hepaci-NS4B	5638	6423
NC_027998	REF_MASTER_PEGI_1_HPgV2	Pegivirus	Pegi1	NS5	6424	9498
NC_027998	REF_MASTER_PEGI_1_HPgV2	Pegivirus	Pegi1	NS5A	6424	7797
NC_027998	REF_MASTER_PEGI_1_HPgV2	Pegivirus	Pegi1	NS5B	7798	9498
NC_027998	REF_MASTER_PEGI_1_HPgV2	Pegivirus	Pegi1	3UTR	9502	9867
KC145265	REF_MASTER_PEGI_2_TDAV	Pegivirus	Pegi2	whole_genome	1	10479
KC145265	REF_MASTER_PEGI_2_TDAV	Pegivirus	Pegi2	5UTR	1	617
KC145265	REF_MASTER_PEGI_2_TDAV	Pegivirus	Pegi2	precursor_polyprotein	618	10187
KC145265	REF_MASTER_PEGI_2_TDAV	Pegivirus	Pegi2	Core	618	695
KC145265	REF_MASTER_PEGI_2_TDAV	Pegivirus	Pegi2	e1_hepaci	678	1235
KC145265	REF_MASTER_PEGI_2_TDAV	Pegivirus	Pegi2	e2_hepaci	1236	2180
KC145265	REF_MASTER_PEGI_2_TDAV	Pegivirus	Pegi2	hepaci-NS2	2784	3449
KC145265	REF_MASTER_PEGI_2_TDAV	Pegivirus	Pegi2	NS3	3450	5324
KC145265	REF_MASTER_PEGI_2_TDAV	Pegivirus	Pegi2	hepaci-NS4A	5325	5591
KC145265	REF_MASTER_PEGI_2_TDAV	Pegivirus	Pegi2	hepaci-NS4B	5592	6422
KC145265	REF_MASTER_PEGI_2_TDAV	Pegivirus	Pegi2	NS5B	8388	10184
KC145265	REF_MASTER_PEGI_2_TDAV	Pegivirus	Pegi2	3UTR	10188	10479
NC_024077	REF_MASTER_SCNV5	Pesti-like	PL1	whole_genome	1	10861
NC_024077	REF_MASTER_SCNV5	Pesti-like	PL1	5UTR	1	350
NC_024077	REF_MASTER_SCNV5	Pesti-like	PL1	precursor_polyprotein	351	10859
NC_028373	REF_MASTER_SLV2	Pestinsect	PL2	whole_genome	1	18554
NC_028373	REF_MASTER_SLV2	Pestinsect	PL2	5UTR	1	199
NC_028373	REF_MASTER_SLV2	Pestinsect	PL2	NS5	14168	17413
NC_028373	REF_MASTER_SLV2	Pestinsect	PL2	precursor_polyprotein	200	17905
NC_028373	REF_MASTER_SLV2	Pestinsect	PL2	3UTR	17906	18554
NC_001461	REF_MASTER_PESTI_1_BVDV1	Pestivirus	Pesti1	whole_genome	1	12573
NC_001461	REF_MASTER_PESTI_1_BVDV1	Pestivirus	Pesti1	5UTR	1	385
NC_001461	REF_MASTER_PESTI_1_BVDV1	Pestivirus	Pesti1	precursor_polyprotein	386	12352
NC_001461	REF_MASTER_PESTI_1_BVDV1	Pestivirus	Pesti1	structural_proteins	386	3583
NC_001461	REF_MASTER_PESTI_1_BVDV1	Pestivirus	Pesti1	N-proteinase	386	889
NC_001461	REF_MASTER_PESTI_1_BVDV1	Pestivirus	Pesti1	pesti-capsid	890	1195
NC_001461	REF_MASTER_PESTI_1_BVDV1	Pestivirus	Pesti1	RNAse	1196	1876
NC_001461	REF_MASTER_PESTI_1_BVDV1	Pestivirus	Pesti1	e1_pesti	1877	2461
NC_001461	REF_MASTER_PESTI_1_BVDV1	Pestivirus	Pesti1	e2_pesti	2462	3583
NC_001461	REF_MASTER_PESTI_1_BVDV1	Pestivirus	Pesti1	pesti-p7	3584	3793
NC_001461	REF_MASTER_PESTI_1_BVDV1	Pestivirus	Pesti1	NS3	3794	7471
NC_001461	REF_MASTER_PESTI_1_BVDV1	Pestivirus	Pesti1	pesti-NS4A	7472	7663
NC_001461	REF_MASTER_PESTI_1_BVDV1	Pestivirus	Pesti1	pesti-NS4B	7664	8704
NC_001461	REF_MASTER_PESTI_1_BVDV1	Pestivirus	Pesti1	NS5	8705	12349
NC_001461	REF_MASTER_PESTI_1_BVDV1	Pestivirus	Pesti1	NS5A	8705	10192
NC_001461	REF_MASTER_PESTI_1_BVDV1	Pestivirus	Pesti1	NS5B	10193	12349
NC_001461	REF_MASTER_PESTI_1_BVDV1	Pestivirus	Pesti1	3UTR	12360	12573
NC_025677	REF_MASTER_PESTI_2_NrPeV	Pestivirus	Pesti2	whole_genome	1	12983
NC_025677	REF_MASTER_PESTI_2_NrPeV	Pestivirus	Pesti2	precursor_polyprotein	499	12480
NC_025677	REF_MASTER_PESTI_2_NrPeV	Pestivirus	Pesti2	e1_pesti	2311	2904
NC_025677	REF_MASTER_PESTI_2_NrPeV	Pestivirus	Pesti2	e2_pesti	2905	4035
NC_038964	REF_MASTER_PESTI_3_APPeV	Pestivirus	Pesti3	whole_genome	1	11276
NC_038964	REF_MASTER_PESTI_3_APPeV	Pestivirus	Pesti3	precursor_polyprotein	124	11031
NC_038964	REF_MASTER_PESTI_3_APPeV	Pestivirus	Pesti3	e1_pesti	1627	2223
NC_038964	REF_MASTER_PESTI_3_APPeV	Pestivirus	Pesti3	e2_pesti	2224	2943
MG599984	REF_MASTER_PESTI_4_NdsPV	Pestivirus	Pesti4	whole_genome	1	7797
MG599984	REF_MASTER_PESTI_4_NdsPV	Pestivirus	Pesti4	precursor_polyprotein	1	7770
NC_003996	REF_MASTER_TAMANA_1_TABV	Tamanavirus		whole_genome	1	10053
NC_003996	REF_MASTER_TAMANA_1_TABV	Tamanavirus		precursor_polyprotein	1	10053
NC_003996	REF_MASTER_TAMANA_1_TABV	Tamanavirus		structural_proteins	1	2358
NC_003996	REF_MASTER_TAMANA_1_TABV	Tamanavirus		flavi-capsid	1	345
NC_003996	REF_MASTER_TAMANA_1_TABV	Tamanavirus		premembrane	346	852
NC_003996	REF_MASTER_TAMANA_1_TABV	Tamanavirus		membrane	655	852
NC_003996	REF_MASTER_TAMANA_1_TABV	Tamanavirus		flavi-envelope	853	2358
NC_003996	REF_MASTER_TAMANA_1_TABV	Tamanavirus		non_structural_proteins	2359	10050
NC_003996	REF_MASTER_TAMANA_1_TABV	Tamanavirus		NS1	2359	3390
NC_003996	REF_MASTER_TAMANA_1_TABV	Tamanavirus		flavi-NS2A	3391	3978
NC_003996	REF_MASTER_TAMANA_1_TABV	Tamanavirus		flavi-NS2B	3979	4431
NC_003996	REF_MASTER_TAMANA_1_TABV	Tamanavirus		NS3	4432	6303
NC_003996	REF_MASTER_TAMANA_1_TABV	Tamanavirus		flavi-NS4A	6304	6687
NC_003996	REF_MASTER_TAMANA_1_TABV	Tamanavirus		2K	6688	6762
NC_003996	REF_MASTER_TAMANA_1_TABV	Tamanavirus		flavi-NS4B	6763	7557
NC_003996	REF_MASTER_TAMANA_1_TABV	Tamanavirus		NS5	7558	10050
