taxon	sequenceID	subfamily	genus	clade	host_group	vector_group	isolate	sampled_host_sci_name	sample_date	country
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_005062	NC_005062	FlaviPesti	Flavivirus	Tick	Dermacentor	tick	-	-	-	-
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_005064	NC_005064	FlaviPesti	Flavivirus	cISF	Aedes	none	SR-82	-	-	-
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_006551	NC_006551	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	Austria
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_007580	NC_007580	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	USA
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_008604	NC_008604	FlaviPesti	Flavivirus	cISF	Culex	none	-	-	-	Japan:Tokyo, Shinjuku
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_008718	NC_008718	FlaviPesti	Flavivirus	NKV2	unknown	unknown	-	bat	-	Uganda
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_008719	NC_008719	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	mosquito	-	Papua New Guinea
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_009026	NC_009026	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	BeAn 4073	-	-	-
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_009028	NC_009028	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_009029	NC_009029	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_012532	NC_012532	FlaviPesti	Flavivirus	Mosq1	Aedes	mosquito	-	sentinel monkey	-	Uganda
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_012533	NC_012533	FlaviPesti	Flavivirus	Mosq1	Aedes	mosquito	-	mosquito	-	Senegal
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_012534	NC_012534	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	mosquito	-	Central African Republic
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_012671	NC_012671	FlaviPesti	Flavivirus	cISF	Culex	none	VN180	Culex tritaeniorhynchus (mosquito)	-	Viet Nam
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_012735	NC_012735	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	South Africa
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_012932	NC_012932	FlaviPesti	Flavivirus	cISF	Aedes	none	-	Aedes albopictus	-	Japan:Chiba, Narita
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_015843	NC_015843	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	goose	-	China
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_016997	NC_016997	FlaviPesti	Flavivirus	dISF1B	Aedes	none	DG0909	Aedes sp. (mosquito)	-	China
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_017086	NC_017086	FlaviPesti	Flavivirus	dISF1B	Aedes	none	HLD115	mosquito	-	China
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_018705	NC_018705	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	IPDIA	-	-	-
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_021069	NC_021069	FlaviPesti	Flavivirus	cISF	Culex	none	LSFlaviV-A20-09	Culex tritaeniorhynchus	-	China
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_023424	NC_023424	FlaviPesti	Flavivirus	Tick	Ixodes	tick	-	Ixodes uriae	-	Russia: far East, Sea of Okhotsk; Tyuleniy island
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_023439	NC_023439	FlaviPesti	Flavivirus	Tick	Ixodes	tick	-	Ixodes lividus	-	Russia: islands of Kuybyshev Reservoir, Kuybyshev Sea, East European Plain
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_024299	NC_024299	FlaviPesti	Flavivirus	cISF	Culex	none	B51/CI/2004	Culex sp.	-	Cote d'Ivoire
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_024805	NC_024805	FlaviPesti	Flavivirus	dISF1B	Aedes	none	M0724	mosquito	-	Finland
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_024806	NC_024806	FlaviPesti	Flavivirus	dISF1B	Aedes	none	M0719	mosquito	-	Finland
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_026620	NC_026620	FlaviPesti	Flavivirus	NKV1	Sigmodon	unknown	-	Sigmodon hispidus	-	Guatemala
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_026623	NC_026623	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	Formicarius analis	-	Brazil
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_026624	NC_026624	FlaviPesti	Flavivirus	NKV2	ticks	ticks	-	Vespertilio pipistrellus	-	Kyrgyzstan
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_027709	NC_027709	FlaviPesti	Flavivirus	Tick	Ixodes	tick	AstGoatIREC2011	Bermeya goat	-	Spain
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_027817	NC_027817	FlaviPesti	Flavivirus	cISF	Aedes	none	92-B115745	-	-	Australia
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_027819	NC_027819	FlaviPesti	Flavivirus	cISF	Culex	none	ER-M10	Culex sp.	-	Panama
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_027999	NC_027999	FlaviPesti	Flavivirus	dISF2	Lutzomyia	none	Ecuador2012	Lutzomyia abonnenci	-	Ecuador
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_029055	NC_029055	FlaviPesti	Flavivirus	Mosq1	Aedes	mosquito	-	-	-	South Africa
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_030289	NC_030289	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	Australia
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_030400	NC_030400	FlaviPesti	Flavivirus	cISF	Mansonia	none	-	Mansonia africana nigerrima voucher H4A1	-	Uganda
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_031327	NC_031327	FlaviPesti	Flavivirus	cISF	Anopheles	none	-	Anopheles gambiae	-	Liberia
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_032088	NC_032088	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	mosquito	-	Australia: New Mapoon
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_033693	NC_033693	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	Central African Republic
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_033697	NC_033697	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	Senegal
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_033698	NC_033698	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	Uganda
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_033699	NC_033699	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	Malaysia
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_033721	NC_033721	FlaviPesti	Flavivirus	Tick	Ornithodoros	tick	-	-	-	France
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_033723	NC_033723	FlaviPesti	Flavivirus	Tick	Ixodes	tick	-	-	-	Australia: Macquarie Island
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_033724	NC_033724	FlaviPesti	Flavivirus	Tick	Rhipicephalus	tick	-	-	-	Uganda
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_033726	NC_033726	FlaviPesti	Flavivirus	Tick	Ornithodoros	tick	-	-	-	Australia: Queensland
