taxon	sequenceID	name	full_name	subfamily	genus	host_major_group	host_minor_group	vector_group	sampled_host_sci_name
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/NC_001437	NC_001437	JEV	Japanese encephalitis virus	FlaviPesti	Flavivirus	Aves/Mammalia	-	Culex	-
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/NC_001474	NC_001474	DENV2	Dengue virus 2	FlaviPesti	Flavivirus	Mammalia	-	Aedes	-
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/NC_001475	NC_001475	DENV3	Dengue virus 3	FlaviPesti	Flavivirus	Mammalia	-	Aedes	-
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/NC_001477	NC_001477	DENV1	Dengue virus 1	FlaviPesti	Flavivirus	Mammalia	-	Aedes	-
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/NC_001563	NC_001563	WNV	West Nile virus	FlaviPesti	Flavivirus	Aves	-	Culex	-
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/NC_002640	NC_002640	DEN4	Dengue virus 4	FlaviPesti	Flavivirus	Mammalia	-	Aedes	-
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/NC_006551	NC_006551	USUV	Usutu virus	FlaviPesti	Flavivirus	Aves	-	Culex	-
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/NC_007580	NC_007580	SLEV	Saint Louis encephalitis virus	FlaviPesti	Flavivirus	Aves	-	Culex	-
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/NC_009026	NC_009026	BSQV	Aroa virus	FlaviPesti	Flavivirus	Mammalia	-	Culex	-
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/NC_009028	NC_009028	ILHV	Ilheus virus	FlaviPesti	Flavivirus	Aves	-	Culex	-
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/NC_009029	NC_009029	KOKV	Kokobera virus	FlaviPesti	Flavivirus	Mammalia	-	Culex	-
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/NC_012532	NC_012532	ZIKV	Zika virus	FlaviPesti	Flavivirus	Mammalia	-	Aedes	sentinel monkey
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/NC_012533	NC_012533	KEDV	Kedougou virus	FlaviPesti	Flavivirus	NK	-	Aedes	mosquito
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/NC_012534	NC_012534	BAGV	Bagaza virus	FlaviPesti	Flavivirus	Aves	-	Culex	mosquito
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/NC_015843	NC_015843	TMUV	Tembusu virus	FlaviPesti	Flavivirus	Aves	-	Culex	goose
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/NC_018705	NC_018705	NTAV	Ntaya virus	FlaviPesti	Flavivirus	NK	-	Culex	-
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/NC_026623	NC_026623	CPCV	Cacipacore virus	FlaviPesti	Flavivirus	Aves	-	Culex	Formicarius analis
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/NC_029055	NC_029055	SPOV	Spondweni virus	FlaviPesti	Flavivirus	NK	-	Aedes	-
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/NC_032088	NC_032088	NMV	New Mapoon virus	FlaviPesti	Flavivirus	NK	-	Culex	mosquito
