taxon	sequenceID	name	subfamily	genus	clade	host_group	vector_group	isolate	sampled_host_sci_name	sample_date	country
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/MF776369	MF776369	LFLV	FlaviPesti	Tamanavirus	NULL	Cyclopterus	none	R170217-6L	Cyclopterus lumpus	-	Norway
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/MG599986	MG599986	WenSFV	FlaviPesti	Tamanavirus	NULL	Scoliodon	none	-	Scoliodon macrorhynchos	-	China
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_000943	NC_000943	MVEV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_001437	NC_001437	JEV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_001474	NC_001474	DENV2	FlaviPesti	Flavivirus	NULL	Aedes	mosquito	-	-	-	Thailand
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_001475	NC_001475	DENV3	FlaviPesti	Flavivirus	NULL	Aedes	mosquito	D3/H/IMTSSA-SRI/2000/1266	-	-	Sri Lanka
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_001477	NC_001477	DENV1	FlaviPesti	Flavivirus	NULL	Aedes	mosquito	-	-	-	-
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_001563	NC_001563	WNV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_001564	NC_001564	CFAV	FlaviPesti	Flavivirus	NULL	Aedes	none	-	Aedes aegypti Galveston colony	-	USA
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_001672	NC_001672	TBEV	FlaviPesti	Flavivirus	NULL	Ixodes	tick	-	-	-	-
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_001809	NC_001809	LIV	FlaviPesti	Flavivirus	NULL	Ixodes	tick	-	-	-	-
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_002031	NC_002031	YFV	FlaviPesti	Flavivirus	NULL	Aedes	mosquito	-	-	-	-
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_002640	NC_002640	DEN4	FlaviPesti	Flavivirus	NULL	Aedes	mosquito	-	-	-	-
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_003635	NC_003635	MODV	FlaviPesti	Flavivirus	NULL	Peromyscus	unknown	-	-	-	USA:Modoc county
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_003675	NC_003675	RBV	FlaviPesti	Flavivirus	NULL	Tadarida	unknown	-	-	-	-
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_003676	NC_003676	APOIV	FlaviPesti	Flavivirus	NULL	Apodemus	unknown	-	-	-	-
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_003687	NC_003687	POWV	FlaviPesti	Flavivirus	NULL	Ixodes	tick	-	-	-	-
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_003690	NC_003690	LGTV	FlaviPesti	Flavivirus	NULL	Ixodes	tick	-	-	-	-
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_003996	NC_003996	TABV	FlaviPesti	Tamanavirus	NULL	Pteronotus	none	-	Pteronotus parnellii	-	Trinidad and Tobago: Tamana cave
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_004119	NC_004119	MMLV	FlaviPesti	Flavivirus	NULL	Myotis	unknown	-	-	-	USA:Montana
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_005039	NC_005039	YOKV	FlaviPesti	Flavivirus	NULL	mosquito	mosquito	-	-	-	-
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_005062	NC_005062	OMSKV	FlaviPesti	Flavivirus	NULL	Dermacentor	tick	-	-	-	-
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_005064	NC_005064	KRV	FlaviPesti	Flavivirus	NULL	Aedes	none	SR-82	-	-	-
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_006551	NC_006551	USUV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	-	-	-	Austria
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_007580	NC_007580	SLEV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	-	-	-	USA
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_008604	NC_008604	CxFV	FlaviPesti	Flavivirus	NULL	Culex	none	-	-	-	Japan:Tokyo, Shinjuku
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_008718	NC_008718	ENTV	FlaviPesti	Flavivirus	NULL	unknown	unknown	-	bat	-	Uganda
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_008719	NC_008719	SEPV	FlaviPesti	Flavivirus	NULL	Aedes	mosquito	-	mosquito	-	Papua New Guinea
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_009026	NC_009026	BSQV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	BeAn 4073	-	-	-
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_009028	NC_009028	ILHV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_009029	NC_009029	KOKV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_012532	NC_012532	ZIKV	FlaviPesti	Flavivirus	NULL	Aedes	mosquito	-	sentinel monkey	-	Uganda
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_012533	NC_012533	KEDV	FlaviPesti	Flavivirus	NULL	Aedes	mosquito	-	mosquito	-	Senegal
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_012534	NC_012534	BAGV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	-	mosquito	-	Central African Republic
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_012671	NC_012671	QBV	FlaviPesti	Flavivirus	NULL	Culex	none	VN180	Culex tritaeniorhynchus (mosquito)	-	Viet Nam
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_012735	NC_012735	WSLV	FlaviPesti	Flavivirus	NULL	Aedes	mosquito	-	-	-	South Africa
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_012932	NC_012932	AEFV	FlaviPesti	Flavivirus	NULL	Aedes	none	-	Aedes albopictus	-	Japan:Chiba, Narita
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_015843	NC_015843	TMUV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	-	goose	-	China
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_016997	NC_016997	DONV/DGV	FlaviPesti	Flavivirus	NULL	Aedes	none	DG0909	Aedes sp. (mosquito)	-	China
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_017086	NC_017086	CHAOV	FlaviPesti	Flavivirus	NULL	Aedes	none	HLD115	mosquito	-	China
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_018705	NC_018705	NTAV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	IPDIA	-	-	-
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_021069	NC_021069	MosqFV	FlaviPesti	Flavivirus	NULL	Culex	none	LSFlaviV-A20-09	Culex tritaeniorhynchus	-	China
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_023424	NC_023424	TYUV	FlaviPesti	Flavivirus	NULL	Ixodes	tick	-	Ixodes uriae	-	Russia: far East, Sea of Okhotsk; Tyuleniy island
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_023439	NC_023439	KAMV	FlaviPesti	Flavivirus	NULL	Ixodes	tick	-	Ixodes lividus	-	Russia: islands of Kuybyshev Reservoir, Kuybyshev Sea, East European Plain
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_024299	NC_024299	NIEV	FlaviPesti	Flavivirus	NULL	Culex	none	B51/CI/2004	Culex sp.	-	Cote d'Ivoire
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_024805	NC_024805	ILOV	FlaviPesti	Flavivirus	NULL	Aedes	none	M0724	mosquito	-	Finland
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_024806	NC_024806	LAMV	FlaviPesti	Flavivirus	NULL	Aedes	none	M0719	mosquito	-	Finland
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_026620	NC_026620	JUTV	FlaviPesti	Flavivirus	NULL	Sigmodon	unknown	-	Sigmodon hispidus	-	Guatemala
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_026623	NC_026623	CPCV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	-	Formicarius analis	-	Brazil
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_026624	NC_026624	SOKV	FlaviPesti	Flavivirus	NULL	ticks	ticks	-	Vespertilio pipistrellus	-	Kyrgyzstan
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_027709	NC_027709	SGEV	FlaviPesti	Flavivirus	NULL	Ixodes	tick	AstGoatIREC2011	Bermeya goat	-	Spain
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_027817	NC_027817	PaRV	FlaviPesti	Flavivirus	NULL	Aedes	none	92-B115745	-	-	Australia
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_027819	NC_027819	MECDV	FlaviPesti	Flavivirus	NULL	Culex	none	ER-M10	Culex sp.	-	Panama
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_027999	NC_027999	EPEV	FlaviPesti	Flavivirus	NULL	Lutzomyia	none	Ecuador2012	Lutzomyia abonnenci	-	Ecuador
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_029055	NC_029055	SPOV	FlaviPesti	Flavivirus	NULL	Aedes	mosquito	-	-	-	South Africa
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_030289	NC_030289	EHV	FlaviPesti	Flavivirus	NULL	Aedes	mosquito	-	-	-	Australia
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_030400	NC_030400	NAKV	FlaviPesti	Flavivirus	NULL	Mansonia	none	-	Mansonia africana nigerrima voucher H4A1	-	Uganda
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_031327	NC_031327	AnophFV	FlaviPesti	Flavivirus	NULL	Anopheles	none	-	Anopheles gambiae	-	Liberia
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_032088	NC_032088	NMV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	-	mosquito	-	Australia: New Mapoon
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_033693	NC_033693	BOUV	FlaviPesti	Flavivirus	NULL	Aedes	mosquito	-	-	-	Central African Republic
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_033697	NC_033697	SABV	FlaviPesti	Flavivirus	NULL	Aedes	mosquito	-	-	-	Senegal
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_033698	NC_033698	UGSV	FlaviPesti	Flavivirus	NULL	Aedes	mosquito	-	-	-	Uganda
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_033699	NC_033699	JUGV	FlaviPesti	Flavivirus	NULL	Aedes	mosquito	-	-	-	Malaysia
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_033721	NC_033721	MEAV	FlaviPesti	Flavivirus	NULL	Ornithodoros	tick	-	-	-	France
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_033723	NC_033723	GGYV	FlaviPesti	Flavivirus	NULL	Ixodes	tick	-	-	-	Australia: Macquarie Island
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_033724	NC_033724	KADV	FlaviPesti	Flavivirus	NULL	Rhipicephalus	tick	-	-	-	Uganda
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/NC_033726	NC_033726	SREV	FlaviPesti	Flavivirus	NULL	Ornithodoros	tick	-	-	-	Australia: Queensland
